run	imp	exit_code	ins_theta_1	ins_gamma_1	ins_e_1	del_theta_1	del_gamma_1	del_e_1	lnL	sim_ins_theta_1	sim_del_theta_1	sim_ins_gamma_1	sim_del_gamma_1	sim_ins_e_1	sim_del_e_1	model	rep
117	1	3	0.000523408657684227	-5.0884034202247	0.0206115474690137	0.00100283293711749	-15.4237449578266	0.0236148288518106	28348.8311808955	0.0005	0.001	 -5	 -15	0.02	0.02	full	rep1
487	1	3	0.00050557962822807	-5.09812808707128	0.0219532960324722	0.000958734277770267	-15.046432517417	0.0205422975226852	27245.2235102994	0.0005	0.001	 -5	 -15	0.02	0.02	full	rep2
42	1	3	0.000491058272710676	-4.86644368616512	0.0249933592980726	0.00101140778950185	-15.1767479327282	0.0148308677440756	27970.5002255706	0.0005	0.001	 -5	 -15	0.02	0.02	full	rep3
432	1	3	0.000500578679451631	-5.14444485224525	0.0233296743923986	0.000983595380223694	-14.7480107898006	0.024116505505613	27695.7972515347	0.0005	0.001	 -5	 -15	0.02	0.02	full	rep4
130	1	3	0.000494170579785349	-5.40967149308793	0.0231346361480424	0.000953641273640614	-14.2182185060239	0.0202890898318663	27064.5447900029	0.0005	0.001	 -5	 -15	0.02	0.02	full	rep5
165	1	3	0.000499550838258276	-4.89052671669442	0.0175385547892076	0.00101389233338486	-15.0456711956232	0.0194471770647292	28345.1933266799	0.0005	0.001	 -5	 -15	0.02	0.02	full	rep6
462	1	3	0.000522030225316963	-4.95112264026984	0.0176605604833829	0.00103704485563939	-16.2506172594507	0.0196456459405286	28716.3747897133	0.0005	0.001	 -5	 -15	0.02	0.02	full	rep7
434	1	3	0.000490564025434498	-4.81006940181044	0.0201180804315545	0.00101697987268369	-15.3483292449175	0.0113069829519451	28147.5037537076	0.0005	0.001	 -5	 -15	0.02	0.02	full	rep8
148	1	3	0.000478952535267816	-5.00945216383374	0.0200569882305445	0.000974019078895099	-14.1414401148695	0.0203399856016793	27389.9572098349	0.0005	0.001	 -5	 -15	0.02	0.02	full	rep9
247	1	3	0.000495689372877366	-4.95852114417159	0.0176729362279968	0.00100138071383075	-14.6769449848366	0.0206234792879547	28169.1457041617	0.0005	0.001	 -5	 -15	0.02	0.02	full	rep10
494	1	3	0.000516496604217784	-5.07338065155199	0.0201351222063154	0.000983611546054566	-15.0967247648342	0.0200091857414248	28019.0758645146	0.0005	0.001	 -5	 -15	0.02	0.02	full	rep11
384	1	3	0.000503900783435437	-4.88237232690958	0.0206435079143148	0.00100850567477188	-15.1391940308159	0.0227969171962974	28267.9878204355	0.0005	0.001	 -5	 -15	0.02	0.02	full	rep12
296	1	3	0.000492270793691379	-4.77413867992144	0.0194728665731418	0.000977784728173164	-14.5561193952468	0.0226582826791538	27796.2977192241	0.0005	0.001	 -5	 -15	0.02	0.02	full	rep13
389	1	3	0.00050370014321331	-4.83997153242027	0.0182498656029626	0.000992703851185703	-14.1937500842897	0.0165555724798669	28654.6905197034	0.0005	0.001	 -5	 -15	0.02	0.02	full	rep14
229	1	3	0.000476254957102256	-4.72258688103507	0.0188252219626457	0.00101854451537477	-15.3127376279187	0.0217471874801445	27725.616024265	0.0005	0.001	 -5	 -15	0.02	0.02	full	rep15
194	1	3	0.000491482925261503	-5.1685899997882	0.019078713113675	0.000962128637242263	-13.901721897085	0.0191071445777141	27492.7926838226	0.0005	0.001	 -5	 -15	0.02	0.02	full	rep16
232	1	3	0.000501143486638044	-4.69842155389628	0.0228257671181597	0.00101220342479424	-15.5102852178393	0.0222110921626528	28256.3025963039	0.0005	0.001	 -5	 -15	0.02	0.02	full	rep17
417	1	3	0.000500330046368768	-5.01781629269278	0.0207310313551265	0.00103462343043615	-15.5133837267621	0.0200033416584297	28348.0646950957	0.0005	0.001	 -5	 -15	0.02	0.02	full	rep18
124	1	3	0.000493457997781903	-4.58119995923152	0.0189109872333507	0.000982574285850559	-15.0468233514623	0.020632084771103	27823.8488579567	0.0005	0.001	 -5	 -15	0.02	0.02	full	rep19
450	1	3	0.000493923853254811	-5.1181657571935	0.0184469842099071	0.000971832727650828	-14.8361111426938	0.023360041855709	27286.0586033899	0.0005	0.001	 -5	 -15	0.02	0.02	full	rep20
335	1	3	0.000481090348056526	-4.83283059851948	0.013233487119084	0.00098555879311686	-14.6941163899977	0.0189377172499423	27587.8080666514	0.0005	0.001	 -5	 -15	0.02	0.02	full	rep21
331	1	3	0.000510811701597643	-5.08857181691258	0.0193497809947703	0.000980808751560558	-15.1085432859816	0.0182011279939343	27803.2184838347	0.0005	0.001	 -5	 -15	0.02	0.02	full	rep22
156	1	3	0.000492802107527765	-4.74811930539931	0.0185727122309463	0.00103923387772624	-16.1634822832309	0.0156535238737543	28215.0502210751	0.0005	0.001	 -5	 -15	0.02	0.02	full	rep23
271	1	3	0.000486791715185242	-4.87767555012552	0.0199551662295809	0.000987193894630566	-15.033667477584	0.0199503100303119	27458.7874109445	0.0005	0.001	 -5	 -15	0.02	0.02	full	rep24
265	1	3	0.00050586484304333	-5.16293185602658	0.01928766405247	0.00102428141301989	-15.3555120873738	0.0161051883492398	28382.4506170171	0.0005	0.001	 -5	 -15	0.02	0.02	full	rep25
443	1	3	0.000505180325286105	-4.91704366737814	0.0222030473719309	0.00106062323214901	-15.6689172280063	0.0203410827392628	28898.7473769149	0.0005	0.001	 -5	 -15	0.02	0.02	full	rep26
55	1	3	0.000486047475069928	-4.83642671944046	0.0190314135947128	0.000996811771512635	-15.4861157784578	0.0178538047550296	27427.1176188226	0.0005	0.001	 -5	 -15	0.02	0.02	full	rep27
206	1	3	0.000507470756423359	-4.93347331502952	0.0209164516934133	0.00101588302689045	-14.6759224549921	0.0199799941860872	28784.9643451629	0.0005	0.001	 -5	 -15	0.02	0.02	full	rep28
372	1	3	0.000505097506455381	-4.98121812143022	0.0234815290608821	0.000987099219416947	-14.7402948007404	0.0228766453801565	28021.6855713489	0.0005	0.001	 -5	 -15	0.02	0.02	full	rep29
