run	imp	exit_code	theta	shape	scale	e	lnL	sim_theta	sim_shape	sim_scale	sim_e	model	rep
26	1	3	0.0052479734464562	0.28733684173654	71.2733189688958	0.0522260765647245	78646.9977579556	0.005	0.3	50	0.05	full	rep28
26	1	3	NA	NA	NA	NA	78582.4371032993	0.005	0.3	50	0.05	reduced	rep28
45	1	3	0.00462469137436202	0.388590240963396	22.6229080403618	0.0517788348606831	76924.1482702545	0.005	0.3	50	0.05	full	rep29
11	1	3	NA	NA	NA	NA	76892.3947213875	0.005	0.3	50	0.05	reduced	rep29
26	1	3	0.0052248057696806	0.277694267368123	71.0463597485659	0.051105865906121	79668.1705064103	0.005	0.3	50	0.05	full	rep30
25	1	3	NA	NA	NA	NA	79605.2941847714	0.005	0.3	50	0.05	reduced	rep30
16	1	3	0.00530971795232095	0.306905463483004	62.3554104675611	0.049586802156069	79591.4706910362	0.005	0.3	50	0.05	full	rep31
48	1	3	NA	NA	NA	NA	79517.2826576739	0.005	0.3	50	0.05	reduced	rep31
37	1	3	0.00541572476206065	0.235030764682157	142.564974425609	0.0492332997837834	78318.5913256729	0.005	0.3	50	0.05	full	rep32
10	1	3	NA	NA	NA	NA	78242.9101087888	0.005	0.3	50	0.05	reduced	rep32
48	1	3	0.00472563949825658	0.38416232421858	23.2950318793465	0.0464882869078192	78871.2561476009	0.005	0.3	50	0.05	full	rep33
8	1	3	NA	NA	NA	NA	78832.8884057085	0.005	0.3	50	0.05	reduced	rep33
2	1	3	0.00520328677601123	0.281582290351865	74.6623898643312	0.0484160139080664	77952.2063317779	0.005	0.3	50	0.05	full	rep34
48	1	3	NA	NA	NA	NA	77886.0035443808	0.005	0.3	50	0.05	reduced	rep34
44	1	3	0.0048102886634124	0.367829359027887	25.8382458010133	0.0514642925019775	79906.782339056	0.005	0.3	50	0.05	full	rep35
40	1	3	NA	NA	NA	NA	79864.5195174437	0.005	0.3	50	0.05	reduced	rep35
15	1	3	0.00519967017472058	0.282856929719353	63.1655667635125	0.0481893774400013	80613.8789977939	0.005	0.3	50	0.05	full	rep36
23	1	3	NA	NA	NA	NA	80553.6904850729	0.005	0.3	50	0.05	reduced	rep36
17	1	3	0.00508884760184295	0.268052516043453	72.9008569668024	0.0456973933602861	78263.6040625696	0.005	0.3	50	0.05	full	rep37
4	1	3	NA	NA	NA	NA	78209.3347967259	0.005	0.3	50	0.05	reduced	rep37
34	1	3	0.00494637514424836	0.307056391543286	47.5423743850912	0.0527877346954646	77754.0126582082	0.005	0.3	50	0.05	full	rep38
24	1	3	NA	NA	NA	NA	77702.7973370134	0.005	0.3	50	0.05	reduced	rep38
41	1	3	0.00494684544230955	0.300889354088691	52.7017310542798	0.0495071478256286	76801.8317505144	0.005	0.3	50	0.05	full	rep39
19	1	3	NA	NA	NA	NA	76746.1135936143	0.005	0.3	50	0.05	reduced	rep39
18	1	3	0.00482461135291409	0.396033370828263	24.3147962362568	0.0558651589139124	78841.2015328995	0.005	0.3	50	0.05	full	rep40
20	1	3	NA	NA	NA	NA	78796.6135385189	0.005	0.3	50	0.05	reduced	rep40
7	1	3	0.00504020830957845	0.298758184313547	53.4781745569971	0.0509125895780348	78470.2566339027	0.005	0.3	50	0.05	full	rep41
9	1	3	NA	NA	NA	NA	78409.6421666907	0.005	0.3	50	0.05	reduced	rep41
50	1	3	0.00508535855698882	0.266596984813265	73.3007026695001	0.0484981821515872	78227.1807370699	0.005	0.3	50	0.05	full	rep42
39	1	3	NA	NA	NA	NA	78166.343472465	0.005	0.3	50	0.05	reduced	rep42
25	1	3	0.0049858269554637	0.277618457884507	59.9149894379474	0.0474163560917731	78276.7852411803	0.005	0.3	50	0.05	full	rep43
7	1	3	NA	NA	NA	NA	78221.4802168668	0.005	0.3	50	0.05	reduced	rep43
36	1	3	0.00513445882769513	0.275692928360021	68.1226175575269	0.0471514136112953	79126.6611559064	0.005	0.3	50	0.05	full	rep44
41	1	3	NA	NA	NA	NA	79065.6557762803	0.005	0.3	50	0.05	reduced	rep44
50	1	3	0.00488062553450409	0.343838530057656	34.1714206644309	0.0519762437085797	78473.6660258978	0.005	0.3	50	0.05	full	rep45
32	1	3	NA	NA	NA	NA	78426.8597123071	0.005	0.3	50	0.05	reduced	rep45
26	1	3	0.00479440406542905	0.335748203928726	30.6576162744047	0.0556769228765925	79367.8149934274	0.005	0.3	50	0.05	full	rep46
28	1	3	NA	NA	NA	NA	79327.1599622571	0.005	0.3	50	0.05	reduced	rep46
38	1	3	0.00502314603988693	0.270471103999376	62.1548336437508	0.0505283956141725	79215.9244617763	0.005	0.3	50	0.05	full	rep47
15	1	3	NA	NA	NA	NA	79164.5933008218	0.005	0.3	50	0.05	reduced	rep47
47	1	3	0.00510216069452051	0.299492823866448	54.0700943152981	0.0500976996390387	79338.998594191	0.005	0.3	50	0.05	full	rep48
25	1	3	NA	NA	NA	NA	79282.6473775261	0.005	0.3	50	0.05	reduced	rep48
48	1	3	0.00522671543370377	0.286978910985105	66.6566940916856	0.050561949329121	79537.832311882	0.005	0.3	50	0.05	full	rep49
37	1	3	NA	NA	NA	NA	79469.7979624236	0.005	0.3	50	0.05	reduced	rep49
1	1	3	0.00486949576966885	0.311365024395384	41.5661904276773	0.05109261257285	78188.973321817	0.005	0.3	50	0.05	full	rep50
15	1	3	NA	NA	NA	NA	78141.6561039059	0.005	0.3	50	0.05	reduced	rep50
41	1	3	0.00527640969819888	0.274560309698263	79.9871008666339	0.0505131153742605	78995.7118335579	0.005	0.3	50	0.05	full	rep51
21	1	3	NA	NA	NA	NA	78924.2488938656	0.005	0.3	50	0.05	reduced	rep51
14	1	3	0.00518079142045668	0.268649378503275	79.4277882474496	0.0446469477170817	78432.6642286284	0.005	0.3	50	0.05	full	rep52
