run	imp	exit_code	theta	shape	scale	e	lnL	sim_theta	sim_shape	sim_scale	sim_e	model	rep
6	1	3	0.00448078157482889	0.175209824170052	90.4367383675694	0	78782.2045943908	0.005	0.3	50	0.05	reduced	rep27
26	1	3	0.0052479734464562	0.28733684173654	71.2733189688958	0.0522260765647245	78646.9977579556	0.005	0.3	50	0.05	full	rep28
34	1	3	0.00447258494205428	0.177200844570543	90.587073448689	0	78275.7682561583	0.005	0.3	50	0.05	reduced	rep28
45	1	3	0.00462469137436202	0.388590240963396	22.6229080403618	0.0517788348606831	76924.1482702545	0.005	0.3	50	0.05	full	rep29
22	1	3	0.00435997432522783	0.177892861914148	84.7807268704869	0	76587.276161978	0.005	0.3	50	0.05	reduced	rep29
26	1	3	0.0052248057696806	0.277694267368123	71.0463597485659	0.051105865906121	79668.1705064103	0.005	0.3	50	0.05	full	rep30
40	1	3	0.00447984930304089	0.171442774365073	90.8778218832525	0	79321.6848893987	0.005	0.3	50	0.05	reduced	rep30
16	1	3	0.00530971795232095	0.306905463483004	62.3554104675611	0.049586802156069	79591.4706910362	0.005	0.3	50	0.05	full	rep31
20	1	3	0.00463783982063577	0.194025926687489	88.4483839417474	0	79244.328273314	0.005	0.3	50	0.05	reduced	rep31
37	1	3	0.00541572476206065	0.235030764682157	142.564974425609	0.0492332997837834	78318.5913256729	0.005	0.3	50	0.05	full	rep32
20	1	3	0.00434806651974326	0.158763545807725	96.3122603033578	0	78003.4891341171	0.005	0.3	50	0.05	reduced	rep32
48	1	3	0.00472563949825658	0.38416232421858	23.2950318793465	0.0464882869078192	78871.2561476009	0.005	0.3	50	0.05	full	rep33
42	1	3	0.00452483303343364	0.188486779436438	83.0693133025184	0	78585.3428444223	0.005	0.3	50	0.05	reduced	rep33
2	1	3	0.00520328677601123	0.281582290351865	74.6623898643312	0.0484160139080664	77952.2063317779	0.005	0.3	50	0.05	full	rep34
19	1	3	0.00447455284814755	0.181597811019077	90.4956162038818	0	77627.7267316001	0.005	0.3	50	0.05	reduced	rep34
44	1	3	0.0048102886634124	0.367829359027887	25.8382458010133	0.0514642925019775	79906.782339056	0.005	0.3	50	0.05	full	rep35
20	1	3	0.00448844654132226	0.175915135835715	84.8123148520662	0	79555.2278510654	0.005	0.3	50	0.05	reduced	rep35
15	1	3	0.00519967017472058	0.282856929719353	63.1655667635125	0.0481893774400013	80613.8789977939	0.005	0.3	50	0.05	full	rep36
27	1	3	0.00455928962350721	0.176414063292133	89.7956951941072	0	80298.662284316	0.005	0.3	50	0.05	reduced	rep36
17	1	3	0.00508884760184295	0.268052516043453	72.9008569668024	0.0456973933602861	78263.6040625696	0.005	0.3	50	0.05	full	rep37
10	1	3	0.00443188079439539	0.173116941576655	91.4828139259669	0	77979.0509093617	0.005	0.3	50	0.05	reduced	rep37
34	1	3	0.00494637514424836	0.307056391543286	47.5423743850912	0.0527877346954646	77754.0126582082	0.005	0.3	50	0.05	full	rep38
3	1	3	0.00437862550540847	0.172024259806585	88.6324111425061	0	77390.07947012	0.005	0.3	50	0.05	reduced	rep38
41	1	3	0.00494684544230955	0.300889354088691	52.7017310542798	0.0495071478256286	76801.8317505144	0.005	0.3	50	0.05	full	rep39
50	1	3	0.0043957094653212	0.17980478109967	89.0030196479776	0	76483.2058366466	0.005	0.3	50	0.05	reduced	rep39
18	1	3	0.00482461135291409	0.396033370828263	24.3147962362568	0.0558651589139124	78841.2015328995	0.005	0.3	50	0.05	full	rep40
49	1	3	0.00448317733597285	0.182029959567703	85.0824141469482	0	78450.3769760718	0.005	0.3	50	0.05	reduced	rep40
7	1	3	0.00504020830957845	0.298758184313547	53.4781745569971	0.0509125895780348	78470.2566339027	0.005	0.3	50	0.05	full	rep41
47	1	3	0.00444647435019181	0.17586059159531	89.1171242353258	0	78127.5421382257	0.005	0.3	50	0.05	reduced	rep41
50	1	3	0.00508535855698882	0.266596984813265	73.3007026695001	0.0484981821515872	78227.1807370699	0.005	0.3	50	0.05	full	rep42
15	1	3	0.00437378689189861	0.166502913007895	90.720466677451	0	77905.6967223251	0.005	0.3	50	0.05	reduced	rep42
25	1	3	0.0049858269554637	0.277618457884507	59.9149894379474	0.0474163560917731	78276.7852411803	0.005	0.3	50	0.05	full	rep43
26	1	3	0.00440071846341614	0.170193900902296	89.9381378410827	0	77978.8048549459	0.005	0.3	50	0.05	reduced	rep43
36	1	3	0.00513445882769513	0.275692928360021	68.1226175575269	0.0471514136112953	79126.6611559064	0.005	0.3	50	0.05	full	rep44
29	1	3	0.00448085585304048	0.175039876576917	90.3305543142613	0	78823.3449324662	0.005	0.3	50	0.05	reduced	rep44
50	1	3	0.00488062553450409	0.343838530057656	34.1714206644309	0.0519762437085797	78473.6660258978	0.005	0.3	50	0.05	full	rep45
22	1	3	0.00446395348848085	0.180331176251482	86.5827646328317	0	78121.0945359915	0.005	0.3	50	0.05	reduced	rep45
26	1	3	0.00479440406542905	0.335748203928726	30.6576162744047	0.0556769228765925	79367.8149934274	0.005	0.3	50	0.05	full	rep46
38	1	3	0.00434242676443107	0.158545267060248	86.8662179353119	0	78974.8406621554	0.005	0.3	50	0.05	reduced	rep46
38	1	3	0.00502314603988693	0.270471103999376	62.1548336437508	0.0505283956141725	79215.9244617763	0.005	0.3	50	0.05	full	rep47
10	1	3	0.00436119096803707	0.159313429668717	90.1376579976635	0	78876.1621237774	0.005	0.3	50	0.05	reduced	rep47
47	1	3	0.00510216069452051	0.299492823866448	54.0700943152981	0.0500976996390387	79338.998594191	0.005	0.3	50	0.05	full	rep48
19	1	3	0.00450045829886452	0.177477798646047	89.1358955038753	0	78987.035811694	0.005	0.3	50	0.05	reduced	rep48
48	1	3	0.00522671543370377	0.286978910985105	66.6566940916856	0.050561949329121	79537.832311882	0.005	0.3	50	0.05	full	rep49
39	1	3	0.00451746381382178	0.177853763724316	89.8171548604242	0	79191.4947306237	0.005	0.3	50	0.05	reduced	rep49
1	1	3	0.00486949576966885	0.311365024395384	41.5661904276773	0.05109261257285	78188.973321817	0.005	0.3	50	0.05	full	rep50
39	1	3	0.00439240268015653	0.171364649390183	87.9931827508218	0	77861.2915098204	0.005	0.3	50	0.05	reduced	rep50
41	1	3	0.00527640969819888	0.274560309698263	79.9871008666339	0.0505131153742605	78995.7118335579	0.005	0.3	50	0.05	full	rep51
17	1	3	0.00446725794424207	0.173766443941569	91.0980751046109	0	78645.2574762747	0.005	0.3	50	0.05	reduced	rep51
14	1	3	0.00518079142045668	0.268649378503275	79.4277882474496	0.0446469477170817	78432.6642286284	0.005	0.3	50	0.05	full	rep52
21	1	3	0.00448558158914934	0.178984563516951	91.3877056136326	0	78152.8980820453	0.005	0.3	50	0.05	reduced	rep52
6	1	3	0.00483534558007076	0.327733623880776	34.1864276104053	0.0466225254325579	79301.2891290481	0.005	0.3	50	0.05	full	rep53
3	1	3	0.00448969024207453	0.178211202198324	86.3661284526803	0	79007.2980310935	0.005	0.3	50	0.05	reduced	rep53
23	1	3	0.0049585209977582	0.300854489355918	47.6623579382116	0.0478941644246386	78776.9904564812	0.005	0.3	50	0.05	full	rep54
29	1	3	0.00446797637311548	0.176834158366376	88.729337154677	0	78473.7864494243	0.005	0.3	50	0.05	reduced	rep54
48	1	3	0.00517949580365009	0.271259704598558	77.0524410043505	0.0485076160558243	78444.1605465608	0.005	0.3	50	0.05	full	rep55
43	1	3	0.00443300175308814	0.172955010721965	90.7068933459266	0	78118.588343148	0.005	0.3	50	0.05	reduced	rep55
14	1	3	0.00483654006783247	0.36052067568573	29.6434802279315	0.0541592315253523	78545.6276771561	0.005	0.3	50	0.05	full	rep56
32	1	3	0.00443550821550691	0.176373115817617	86.508136765669	0	78163.4098356112	0.005	0.3	50	0.05	reduced	rep56
14	1	3	0.00483014404190516	0.291020115964429	44.5818526963968	0.0493262379509487	78541.7896507739	0.005	0.3	50	0.05	full	rep57
29	1	3	0.00433786448481298	0.16146475441864	88.4863394973032	0	78221.4116613877	0.005	0.3	50	0.05	reduced	rep57
46	1	3	0.00502641783470885	0.323683291527542	40.6067709723686	0.0468302178465896	80335.3653761067	0.005	0.3	50	0.05	full	rep58
31	1	3	0.00460496983298044	0.186486516628213	86.7482866884421	0	80023.1179253634	0.005	0.3	50	0.05	reduced	rep58
8	1	3	0.00495081315896687	0.324876713927253	40.8208554636428	0.0478376347511219	78670.4062667896	0.005	0.3	50	0.05	full	rep59
30	1	3	0.00452416498463619	0.186280149133744	87.068921336852	0	78358.5999699813	0.005	0.3	50	0.05	reduced	rep59
49	1	3	0.00485791880515791	0.338078894439686	34.0079680844311	0.0464949520600643	78827.8077091723	0.005	0.3	50	0.05	full	rep60
33	1	3	0.00452511274629416	0.186946950612634	85.1232544652553	0	78536.9043603178	0.005	0.3	50	0.05	reduced	rep60
36	1	3	0.00620027029960629	0.210975654619135	342.537569312624	0.053963461681839	80330.087827519	0.005	0.3	50	0.05	full	rep61
47	1	3	0.00462289220922588	0.1883566953793	87.6705846954188	0	79967.3923586708	0.005	0.3	50	0.05	reduced	rep61
46	1	3	0.00526314159941941	0.271098222558803	82.5762202744394	0.0502704369372873	78738.6655718986	0.005	0.3	50	0.05	full	rep62
33	1	3	0.0044496829281418	0.172752822827153	91.4827377902733	0	78396.859084126	0.005	0.3	50	0.05	reduced	rep62
30	1	3	0.0051778593389352	0.279930988750848	64.2154107735547	0.0542441469711095	80158.025680806	0.005	0.3	50	0.05	full	rep63
5	1	3	0.00443327016356339	0.162704803996462	90.7986865362389	0	79774.2014813243	0.005	0.3	50	0.05	reduced	rep63
20	1	3	0.00573670676567825	0.208288991319321	271.171624170857	0.0513319328886346	78285.4486330459	0.005	0.3	50	0.05	full	rep64
49	1	3	0.00436189927207581	0.164413674813688	90.9969996132839	0	77969.0341802535	0.005	0.3	50	0.05	reduced	rep64
44	1	3	0.00514987461080198	0.26159449335307	78.7623090577261	0.0486852336423544	78936.5456279966	0.005	0.3	50	0.05	full	rep65
31	1	3	0.00440019993332764	0.165048418546553	91.3795743266319	0	78618.1529267666	0.005	0.3	50	0.05	reduced	rep65
26	1	3	0.00488980955842777	0.356376263652775	30.8381547163968	0.0547702889811389	79209.4412196288	0.005	0.3	50	0.05	full	rep66
21	1	3	0.00445929146805964	0.175460174513599	86.3384162378137	0	78815.7813510444	0.005	0.3	50	0.05	reduced	rep66
8	1	3	0.00495103361362539	0.301616661608434	48.8232242304702	0.0492943359436369	78103.1458119984	0.005	0.3	50	0.05	full	rep67
37	1	3	0.00442562605365498	0.175550075537429	88.9613944358456	0	77777.3266764691	0.005	0.3	50	0.05	reduced	rep67
29	1	3	0.00498841242622667	0.312162740733406	45.9631971428578	0.0492943547253905	78634.4167239608	0.005	0.3	50	0.05	full	rep68
12	1	3	0.00448692171540432	0.180406808523958	88.7164892477656	0	78304.2097790443	0.005	0.3	50	0.05	reduced	rep68
49	1	3	0.00462937901705525	0.3588037206993	23.3532199350654	0.0467532211719954	78935.8731611014	0.005	0.3	50	0.05	full	rep69
21	1	3	0.00440628061456365	0.170715156428341	84.853280289364	0	78654.3634899086	0.005	0.3	50	0.05	reduced	rep69
47	1	3	0.00486482086375268	0.327876567301939	37.3095769165079	0.0509713239953591	78240.5864116206	0.005	0.3	50	0.05	full	rep70
12	1	3	0.00442945694384004	0.176426791024802	87.5046982164635	0	77904.3561436545	0.005	0.3	50	0.05	reduced	rep70
41	1	3	0.00503137113861867	0.262006872224246	68.9498706253149	0.0458200951472105	78968.4493111405	0.005	0.3	50	0.05	full	rep71
15	1	3	0.00441167837039566	0.166433413895986	90.9760048563604	0	78693.9590495872	0.005	0.3	50	0.05	reduced	rep71
42	1	3	0.00496034853421314	0.275018789596859	62.8441986473769	0.0523631515057352	77230.8219186234	0.005	0.3	50	0.05	full	rep72
18	1	3	0.00427420828000203	0.160074241124112	90.3970358995555	0	76873.1761828108	0.005	0.3	50	0.05	reduced	rep72
24	1	3	0.00490171712915426	0.316141736145403	39.9882295867664	0.0471034064498169	79049.9057922231	0.005	0.3	50	0.05	full	rep73
40	1	3	0.00449206736105603	0.179576107979601	87.0621991967967	0	78751.424061932	0.005	0.3	50	0.05	reduced	rep73
