run	imp	exit_code	theta_1	gamma_1	e_1	theta_2	gamma_2	e_2	lnL	sim_theta_1	sim_theta_2	sim_gamma_1	sim_gamma_2	sim_e_1	sim_e_2	model	rep
247	1	3	0.0114904893082673	-23.8559063082249	0	0.00475690915186855	-4.83989245697038	0.0656769695072027	12620.6729697596	0.005	0.01	 -5	 -20	0.05	0.01	full	rep18
8	1	3	0.0133984072499547	-11.4063649663191	0	0.000262257997114661	1958.26840030668	0	12607.4416522253	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep18
177	1	3	0.00585405936338171	-5.14309656549177	0.0369358683357041	0.00956328579201945	-24.197969205678	0.0250365495648145	12556.3861365451	0.005	0.01	 -5	 -20	0.05	0.01	full	rep19
144	1	3	0.000262445491264482	4935.83788383392	0	0.0126844641266079	-10.1106758633489	0	12542.637716274	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep19
253	1	3	0.00630659574418929	-5.44174576383856	0.0502143037848889	0.00929243685680353	-25.4441248274625	0	12669.607076086	0.005	0.01	 -5	 -20	0.05	0.01	full	rep20
53	1	3	0.000244604401936007	786.209750319317	0	0.0128789513431462	-10.1634256819621	0	12660.6521306844	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep20
37	1	3	0.00926557601543539	-17.0974438629918	0.0464678750339893	0.00515294690651728	-5.1037988771961	0.0097216272585686	12758.3630181084	0.005	0.01	 -5	 -20	0.05	0.01	full	rep21
15	1	3	0.000229650151594054	5000	0	0.0127602181800096	-9.71539138602717	0	12746.438745998	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep21
52	1	3	0.00358225814845345	-4.41592816710271	0.0650611009865912	0.0109849410917233	-16.8227215842582	0.0129530851990916	12312.530403698	0.005	0.01	 -5	 -20	0.05	0.01	full	rep22
144	1	3	0.000257779755793641	4935.83787982869	0	0.0129682148542712	-11.0352796138053	0	12305.3748740228	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep22
263	1	3	0.0121118621882239	-17.9963583243492	0	0.00379903265382553	-4.70974643234199	0.0735281582374638	13243.9475845602	0.005	0.01	 -5	 -20	0.05	0.01	full	rep23
459	1	3	0.00022817615644904	4988.50941601076	0	0.014181756597196	-11.587978520738	0	13238.6639789218	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep23
419	1	3	0.00935236527616607	-26.2280306012956	0	0.00651272899416599	-5.60877714645799	0.0546932196317967	12785.8756826209	0.005	0.01	 -5	 -20	0.05	0.01	full	rep24
82	1	3	0.0131221048991521	-10.5457255969218	0	0.000262676503486357	4397.01795733816	0	12777.3990463001	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep24
212	1	3	0.00431170908142858	-4.53598739689573	0.0211817385317858	0.00984188111029576	-18.5251947845997	0.0315846276511824	11946.1381180453	0.005	0.01	 -5	 -20	0.05	0.01	full	rep25
288	1	3	0.000223516902737458	4940.12106962353	0	0.0121365033488666	-9.8619575766546	0	11933.4158292512	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep25
415	1	3	0.00455021409898814	-4.32854010964541	0.0439628128604874	0.0110460518772514	-22.8008379427847	0.0138754518753032	12422.3334766751	0.005	0.01	 -5	 -20	0.05	0.01	full	rep26
15	1	3	0.000257905192696889	5000	0	0.0127111310870386	-10.3803794558114	0	12406.6866943487	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep26
314	1	3	0.00944242401907032	-29.9392703729282	0.00332378364115031	0.00697357035135466	-6.45542906952336	0.0536535534718618	12567.9294673965	0.005	0.01	 -5	 -20	0.05	0.01	full	rep27
215	1	3	0.000248293447356321	5000	0	0.0134878632492942	-11.6266101347813	0	12557.1537405968	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep27
345	1	3	0.000320268047070289	2.91502509237203	0	0.0135627296415423	-11.1685442071314	0.0254005842276827	12562.4857359568	0.005	0.01	 -5	 -20	0.05	0.01	full	rep28
144	1	3	0.000242554997486635	4935.83787847854	0	0.0132302034454015	-10.9337188958212	0	12560.5925585399	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep28
179	1	3	0.00949657901704934	-20.4496256540849	0.0305666259243095	0.00537572816521393	-5.14634454178316	0.0408268560446831	12458.6233435007	0.005	0.01	 -5	 -20	0.05	0.01	full	rep29
15	1	3	0.000277095586280835	5000	0	0.0126686112885555	-10.314215125424	0	12444.8589425023	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep29
38	1	3	0.0103871444862313	-16.8177374821217	0.0270897535209477	0.00411091273241945	-3.93787030045657	0.0278225719221482	12758.0682296127	0.005	0.01	 -5	 -20	0.05	0.01	full	rep30
156	1	3	0.0125024286507092	-9.33558083833534	0	0.000255247874295855	5000	0	12747.4455940594	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep30
322	1	3	0.00848960120966056	-22.7216204811279	0	0.00666092960280014	-5.93925761202549	0.0615418560554085	12676.8431966421	0.005	0.01	 -5	 -20	0.05	0.01	full	rep31
156	1	3	0.0130254325626558	-10.5845319722881	0	0.000273134492810688	5000	0	12667.8109648145	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep31
35	1	3	0.00808589642972693	-23.5251544028166	0	0.00693927796539685	-6.28114030846592	0.050066824247216	12527.597368168	0.005	0.01	 -5	 -20	0.05	0.01	full	rep32
156	1	3	0.0130512750700676	-10.6582957482575	0	0.000228160388433525	5000	0	12521.9094779149	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep32
70	1	3	0.00310855776755596	-3.68133751233558	0	0.0110759663579593	-15.0425712710375	0.0390664740939026	12480.9113316237	0.005	0.01	 -5	 -20	0.05	0.01	full	rep33
156	1	3	0.0125529436501205	-9.79721846079785	0	0.000236406043367987	5000	0	12468.5052047116	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep33
345	1	3	0.00425122142451749	-4.5631218967936	0.0112075843407252	0.0102705190781948	-19.7331539539808	0.0362714324076399	11948.6418796792	0.005	0.01	 -5	 -20	0.05	0.01	full	rep34
156	1	3	0.0122812875635283	-10.1165249617552	0	0.000212882219296569	5000	0	11933.2817830228	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep34
429	1	3	0.010418001274175	-16.7437808742615	0.0230025057429289	0.0040323908550065	-4.56781569158506	0.0374440743438586	12453.7433475203	0.005	0.01	 -5	 -20	0.05	0.01	full	rep35
17	1	3	0.0127584537932043	-10.244886735371	0	0.000235804022731512	4749.64886522286	0	12444.6734734261	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep35
114	1	3	0.0108056026453178	-20.9752405383385	0	0.00503853964229691	-5.43574414566691	0.0502455116195283	12931.6820598404	0.005	0.01	 -5	 -20	0.05	0.01	full	rep36
255	1	3	0.0137419125276346	-11.1868115497777	0	0.000203966251009536	487.374883929336	0	12922.7710857207	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep36
406	1	3	0.011615130948488	-16.4964841612413	0.00510555897476745	0.00301853632493649	-3.73958744773811	0.0790890719644285	12359.5400605792	0.005	0.01	 -5	 -20	0.05	0.01	full	rep37
301	1	3	0.000255939039181549	5000	0	0.0129970910947134	-10.9858851036562	0	12353.2513806975	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep37
125	1	3	0.00214015953874573	-2.79418524596161	0	0.011305778909353	-13.6727913254642	0.0369748002341171	11874.9906834037	0.005	0.01	 -5	 -20	0.05	0.01	full	rep38
301	1	3	0.000246468761505731	5000	0	0.0120361459488603	-9.86526640739009	0	11867.2491433487	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep38
484	1	3	0.00363011343165277	-4.11772100791265	0.0574510185226476	0.0105619891221021	-17.3664607824892	0.0148917982632489	11945.8264592439	0.005	0.01	 -5	 -20	0.05	0.01	full	rep39
255	1	3	0.0123323842307942	-10.4216764289727	0	0.000260190327621256	5000	0	11935.9627764973	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep39
184	1	3	0.0112543846911522	-16.5072649434271	0.00673956247908896	0.00349470325805024	-4.25984701382403	0.0548984872503421	12628.4817268595	0.005	0.01	 -5	 -20	0.05	0.01	full	rep40
332	1	3	0.000212105298337223	2434.82974231683	0	0.013140622300672	-10.5455308951039	0	12622.7758602915	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep40
356	1	3	0.00941642495177037	-31.760509976849	0.0145141520404686	0.00654493035170579	-5.30016729300958	0.0423962597375598	12318.9242814008	0.005	0.01	 -5	 -20	0.05	0.01	full	rep41
16	1	3	0.0123351531755902	-9.86132733437655	0	0.000264879608220511	5000	0	12302.0274928731	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep41
240	1	3	0.0103818272409811	-29.4205488354792	0.00576652472099108	0.00604595056832679	-5.09924082424929	0.0440402439133748	12670.8500826056	0.005	0.01	 -5	 -20	0.05	0.01	full	rep42
16	1	3	0.0128227891209712	-10.1394023435042	0	0.000248384263105779	5000	0	12653.3976592887	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep42
247	1	3	0.00236892787797182	-3.46891791046679	0.0173532729255416	0.0122493187832847	-14.7773140282831	0.0290904996174184	12613.4598548468	0.005	0.01	 -5	 -20	0.05	0.01	full	rep43
16	1	3	0.0131933621393943	-10.7916471161993	0	0.000227463006184573	5000	0	12605.1192198911	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep43
156	1	3	0.00528236264019771	-5.10723819820541	0.0431098712258255	0.0108010701654035	-23.7234144698063	0.00945525602448091	12811.7221316089	0.005	0.01	 -5	 -20	0.05	0.01	full	rep44
16	1	3	0.0132901359719931	-10.6907727448134	0	0.000229277071175625	5000	0	12797.2234926736	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep44
338	1	3	0.0103598849584132	-21.2508522430861	0.0131619617868056	0.00461192358572559	-4.60449742278075	0.043874379210468	12193.5733602112	0.005	0.01	 -5	 -20	0.05	0.01	full	rep45
16	1	3	0.0125478830389077	-10.3468284493671	0	0.000239425604875321	5000	0	12181.9356361377	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep45
370	1	3	0.00138801290661995	-1.9350004802824	0.0624254601652529	0.0140171724373364	-14.7240333599394	0.0151151054808798	13046.8593466647	0.005	0.01	 -5	 -20	0.05	0.01	full	rep46
16	1	3	0.0140917943519046	-11.79382721971	0	0.000236585709430578	5000	0	13041.1934019314	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep46
17	1	3	0.00386804244844837	-4.75379327025906	0.0758330042457197	0.0101799574176638	-16.3550758140472	0	12050.4987211936	0.005	0.01	 -5	 -20	0.05	0.01	full	rep47
16	1	3	0.0126419779815213	-10.6805980388914	0	0.000229906838198116	5000	0	12046.1802332545	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep47
101	1	3	0.0132368623185147	-13.3067109214965	0.0320212930834873	0.000992714235969737	-0.399087793777924	0	12325.3190563043	0.005	0.01	 -5	 -20	0.05	0.01	full	rep48
16	1	3	0.0129034102295326	-11.0429597291752	0	0.000292991253989652	5000	0	12318.8776149124	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep48
494	1	3	0.00740294084367471	-5.80009720434619	0.0461653748287322	0.0106062828510114	-37.9926839304991	0	13298.7454526347	0.005	0.01	 -5	 -20	0.05	0.01	full	rep49
16	1	3	0.013496936852431	-10.3801019069725	0	0.000251028788274342	5000	0	13282.9006436573	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep49
269	1	3	0.0111342592328361	-15.0828135160214	0.017001428620925	0.00293670922289824	-3.48368835476435	0.0381407563570539	12341.9002070964	0.005	0.01	 -5	 -20	0.05	0.01	full	rep50
16	1	3	0.0124727083014886	-9.79329877662031	0	0.000222860853170484	5000	0	12334.5137069377	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep50
