run	imp	exit_code	theta_1	gamma_1	e_1	theta_2	gamma_2	e_2	lnL	sim_theta_1	sim_theta_2	sim_gamma_1	sim_gamma_2	sim_e_1	sim_e_2	model	rep
424	1	3	0.00883421021536075	-40.2998259727508	0.0043672165675079	0.00817501248990209	-6.52085698794454	0.044756694221505	12737.0883137618	0.005	0.01	 -5	 -20	0.05	0.01	full	rep1
331	1	3	0.000257406749188469	200	0	0.0130742759740222	-10.5455155143375	0	12717.078685785	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep1
39	1	3	0.00116499971253801	-1.769095626833	0.0754003610970097	0.0132806965261272	-12.6824690711582	0.0165831141088346	12830.0611659385	0.005	0.01	 -5	 -20	0.05	0.01	full	rep2
460	1	3	0.000243469739295236	200	0	0.0134776817123499	-10.9458336526679	0	12826.5683785124	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep2
256	1	3	0.00378133733758456	-4.15754998467158	0.00690640962979709	0.0111354041086228	-18.1981417358166	0.0384411715951493	12487.7718575407	0.005	0.01	 -5	 -20	0.05	0.01	full	rep3
495	1	3	0.000245587523611025	200	0	0.0128069845504771	-10.3510283493362	0	12470.6097260397	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep3
457	1	3	0.00305824719082027	-4.03308848185125	0.0760163472261448	0.0118643965704193	-16.0008395359773	0.00903106229560976	12711.9405758696	0.005	0.01	 -5	 -20	0.05	0.01	full	rep4
74	1	3	0.000263527532313864	200	0	0.0134343104211831	-11.2354827419526	0	12705.6098359651	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep4
346	1	3	0.00870722394046929	-24.9683471979196	0.0671443724702468	0.00645237996319468	-5.47241642267604	0	12534.383212347	0.005	0.01	 -5	 -20	0.05	0.01	full	rep5
282	1	3	0.000225643705506952	200	0	0.01243711504568	-9.48920417024067	0	12506.9534368557	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep5
199	1	3	0.0113550644430933	-17.6404297500103	0.029873923715392	0.00326119976258177	-3.6802974052001	0.0232737992459635	12177.991458991	0.005	0.01	 -5	 -20	0.05	0.01	full	rep6
395	1	1	0.000263639963187152	200	0	0.0125353759995438	-10.4400180925794	0	12162.3901742244	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep6
136	1	3	0.00999107954487125	-13.2078490454109	0.0179277042350631	0.00337338635310508	-4.57730994958391	0.0506599396557024	12167.5147106551	0.005	0.01	 -5	 -20	0.05	0.01	full	rep7
53	1	3	0.012380684109036	-9.91128645651873	0	0.000230569993603381	200	0	12160.8098688243	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep7
196	1	3	0.0101924299722476	-19.726934807393	0	0.0048564627877932	-4.88466617718133	0.0543739708142273	12640.7904320195	0.005	0.01	 -5	 -20	0.05	0.01	full	rep8
60	1	1	0.000231800022401596	200	0	0.0130293574810354	-10.4043223563713	0	12635.8065783747	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep8
465	1	3	0.00607793625406025	-5.43800076533614	0.0518134403954323	0.00883828224991001	-21.5947887654524	0	12635.0842575451	0.005	0.01	 -5	 -20	0.05	0.01	full	rep9
385	1	3	0.000251201507224541	200	0	0.0128446314148695	-10.1496298969162	0	12627.7188934514	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep9
322	1	3	0.00321661573007637	-4.15973472940466	0.0370933451413602	0.0112384242022775	-14.5643728716019	0.0267876889891769	12794.4044166472	0.005	0.01	 -5	 -20	0.05	0.01	full	rep10
369	1	3	0.0131024533587483	-10.4135498895848	0	0.000259885403652297	200	0	12783.2037789529	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep10
103	1	3	0.000796139476142694	-0.474102481499922	0	0.0133117299386256	-13.7017104627075	0.0253891574890652	11907.9189045236	0.005	0.01	 -5	 -20	0.05	0.01	full	rep11
206	1	3	0.00024364050905733	200	0	0.0130373540031445	-11.8393821053905	0	11900.7368758879	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep11
235	1	3	0.00129901860532257	-1.97112920594348	0.0253022876710154	0.0132583977329016	-13.8097408746623	0.0236899260019499	12533.7531206968	0.005	0.01	 -5	 -20	0.05	0.01	full	rep12
125	1	1	0.0133689855123042	-11.3086717129853	0	0.000237995906741112	200	0	12526.7044469328	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep12
409	1	3	0.00348279178743962	-4.02828605946584	0.0462471210116186	0.010528057723761	-15.0392451807695	0.0205964626556112	12403.1691316771	0.005	0.01	 -5	 -20	0.05	0.01	full	rep13
298	1	3	0.000264852292243	200	0	0.0125294214245449	-9.97928098466993	0	12394.1991752753	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep13
306	1	3	0.0134038592537473	-16.0824454777353	0.0298451356898573	0.0021138797250837	-2.44753375831728	0.0140889411860923	13026.2017168217	0.005	0.01	 -5	 -20	0.05	0.01	full	rep14
22	1	3	0.0136416168011866	-11.2515131220984	0	0.000291924946393313	200	0	13012.9055311627	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep14
224	1	3	0.0102362443981258	-14.5579532959217	0	0.00372594205330806	-4.16177961685089	0.0739853996146071	12628.3762332784	0.005	0.01	 -5	 -20	0.05	0.01	full	rep15
267	1	3	0.00025357317215693	200	0	0.0126532798180953	-9.76633565492691	0	12624.7339631839	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep15
297	1	3	0.00478225704942542	-4.9238601907728	0.0479000462125645	0.0120010512669393	-24.1313339207488	0.0125532259778212	12973.2031782232	0.005	0.01	 -5	 -20	0.05	0.01	full	rep16
21	1	1	0.0139058555622868	-11.7865574660472	0	0.00026710100543908	200	0	12958.2950304283	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep16
6	1	3	0.00230017673545905	-2.92593510982367	0.0344676510108808	0.0125859799823644	-14.215500067306	0.0292632983747059	13118.437755705	0.005	0.01	 -5	 -20	0.05	0.01	full	rep17
278	1	1	0.0133963321357983	-10.6051809544735	0	0.000296048337758524	200	0	13109.8975257715	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep17
247	1	3	0.0114904893082673	-23.8559063082249	0	0.00475690915186855	-4.83989245697038	0.0656769695072027	12620.6729697596	0.005	0.01	 -5	 -20	0.05	0.01	full	rep18
290	1	3	0.0134265135262179	-11.5108845382256	0	0.000275468017969994	200	0	12607.0285590654	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep18
177	1	3	0.00585405936338171	-5.14309656549177	0.0369358683357041	0.00956328579201945	-24.197969205678	0.0250365495648145	12556.3861365451	0.005	0.01	 -5	 -20	0.05	0.01	full	rep19
224	1	3	0.0127070747100432	-10.2047901825724	0	0.000276914437312418	200	0	12539.600646948	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep19
253	1	3	0.00630659574418929	-5.44174576383856	0.0502143037848889	0.00929243685680353	-25.4441248274625	0	12669.607076086	0.005	0.01	 -5	 -20	0.05	0.01	full	rep20
447	1	3	0.0128935438467073	-10.2261655510896	0	0.000254709223430158	200	0	12660.3599533062	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep20
37	1	3	0.00926557601543539	-17.0974438629918	0.0464678750339893	0.00515294690651728	-5.1037988771961	0.0097216272585686	12758.3630181084	0.005	0.01	 -5	 -20	0.05	0.01	full	rep21
458	1	3	0.0127744793431255	-9.78322486219328	0	0.0002420038998145	200	0	12742.8271090734	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep21
52	1	3	0.00358225814845345	-4.41592816710271	0.0650611009865912	0.0109849410917233	-16.8227215842582	0.0129530851990916	12312.530403698	0.005	0.01	 -5	 -20	0.05	0.01	full	rep22
39	1	3	0.012991316196326	-11.1311210947133	0	0.000271324097086527	200	0	12303.7199596826	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep22
263	1	3	0.0121118621882239	-17.9963583243492	0	0.00379903265382553	-4.70974643234199	0.0735281582374638	13243.9475845602	0.005	0.01	 -5	 -20	0.05	0.01	full	rep23
238	1	1	0.0142037517024997	-11.6710583068903	0	0.000240017050418613	200	0	13237.0586251335	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep23
419	1	3	0.00935236527616607	-26.2280306012956	0	0.00651272899416599	-5.60877714645799	0.0546932196317967	12785.8756826209	0.005	0.01	 -5	 -20	0.05	0.01	full	rep24
115	1	3	0.0131430967089716	-10.634748949643	0	0.00027660791044799	200	0	12775.6422723116	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep24
212	1	3	0.00431170908142858	-4.53598739689573	0.0211817385317858	0.00984188111029576	-18.5251947845997	0.0315846276511824	11946.1381180453	0.005	0.01	 -5	 -20	0.05	0.01	full	rep25
44	1	3	0.000236230877288856	200	0	0.0121580606549364	-9.94999828597965	0	11930.342062654	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep25
415	1	3	0.00455021409898814	-4.32854010964541	0.0439628128604874	0.0110460518772514	-22.8008379427847	0.0138754518753032	12422.3334766751	0.005	0.01	 -5	 -20	0.05	0.01	full	rep26
445	1	3	0.000272792560103524	200	0	0.0127440128842912	-10.497806881673	0	12404.8304912688	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep26
314	1	3	0.00944242401907032	-29.9392703729282	0.00332378364115031	0.00697357035135466	-6.45542906952336	0.0536535534718618	12567.9294673965	0.005	0.01	 -5	 -20	0.05	0.01	full	rep27
84	1	3	0.0135047267821108	-11.7067563067251	0	0.000260732859715244	200	0	12554.1633865752	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep27
345	1	3	0.000320268047070289	2.91502509237203	0	0.0135627296415423	-11.1685442071314	0.0254005842276827	12562.4857359568	0.005	0.01	 -5	 -20	0.05	0.01	full	rep28
438	1	3	0.000254646625498285	200	0	0.0132435414613299	-11.0026158182262	0	12558.4225647828	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep28
179	1	3	0.00949657901704934	-20.4496256540849	0.0305666259243095	0.00537572816521393	-5.14634454178316	0.0408268560446831	12458.6233435007	0.005	0.01	 -5	 -20	0.05	0.01	full	rep29
261	1	3	0.0126893106545282	-10.4078585069972	0	0.000291975373106954	200	0	12441.5125878077	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep29
38	1	3	0.0103871444862313	-16.8177374821217	0.0270897535209477	0.00411091273241945	-3.93787030045657	0.0278225719221482	12758.0682296127	0.005	0.01	 -5	 -20	0.05	0.01	full	rep30
159	1	3	0.0125261943185725	-9.42960590579322	0	0.000270233242690344	200	0	12745.0094208879	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep30
322	1	3	0.00848960120966056	-22.7216204811279	0	0.00666092960280014	-5.93925761202549	0.0615418560554085	12676.8431966421	0.005	0.01	 -5	 -20	0.05	0.01	full	rep31
172	1	3	0.013043235086879	-10.6707468111176	0	0.000287477471358553	200	0	12666.2647158612	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep31
35	1	3	0.00808589642972693	-23.5251544028166	0	0.00693927796539685	-6.28114030846592	0.050066824247216	12527.597368168	0.005	0.01	 -5	 -20	0.05	0.01	full	rep32
98	1	1	0.000239877348210371	200	0	0.0130653790982519	-10.7271483121198	0	12519.4347620846	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep32
70	1	3	0.00310855776755596	-3.68133751233558	0	0.0110759663579593	-15.0425712710375	0.0390664740939026	12480.9113316237	0.005	0.01	 -5	 -20	0.05	0.01	full	rep33
74	1	3	0.000249684895552443	200	0	0.0125744629196598	-9.88338814235984	0	12464.7732560291	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep33
345	1	3	0.00425122142451749	-4.5631218967936	0.0112075843407252	0.0102705190781948	-19.7331539539808	0.0362714324076399	11948.6418796792	0.005	0.01	 -5	 -20	0.05	0.01	full	rep34
393	1	1	0.00022492769862882	200	0	0.0123033995705894	-10.2038211552301	0	11930.6921909331	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep34
429	1	3	0.010418001274175	-16.7437808742615	0.0230025057429289	0.0040323908550065	-4.56781569158506	0.0374440743438586	12453.7433475203	0.005	0.01	 -5	 -20	0.05	0.01	full	rep35
230	1	3	0.0127789942737075	-10.3296958162174	0	0.000248681472940784	200	0	12442.9189709547	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep35
114	1	3	0.0108056026453178	-20.9752405383385	0	0.00503853964229691	-5.43574414566691	0.0502455116195283	12931.6820598404	0.005	0.01	 -5	 -20	0.05	0.01	full	rep36
197	1	3	0.000210545307420106	200	0	0.0137564621051155	-11.237470755855	0	12922.6088754833	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep36
406	1	3	0.011615130948488	-16.4964841612413	0.00510555897476745	0.00301853632493649	-3.73958744773811	0.0790890719644285	12359.5400605792	0.005	0.01	 -5	 -20	0.05	0.01	full	rep37
209	1	1	0.000269739814041797	200	0	0.0130243894598369	-11.0903103818401	0	12352.8568489748	0.005	0.01	 -5	 -20	0.05	0.01	reduced	rep37
125	1	3	0.00214015953874573	-2.79418524596161	0	0.011305778909353	-13.6727913254642	0.0369748002341171	11874.9906834037	0.005	0.01	 -5	 -20	0.05	0.01	full	rep38
