e_1_sim,e_1_mean,e_1_sd,e_1_lwr,e_1_upr,e_2_sim,e_2_mean,e_2_sd,e_2_lwr,e_2_upr,gamma_1_sim,gamma_1_mean,gamma_1_sd,gamma_1_lwr,gamma_1_upr,gamma_2_sim,gamma_2_mean,gamma_2_sd,gamma_2_lwr,gamma_2_upr,theta_1_sim,theta_1_mean,theta_1_sd,theta_1_lwr,theta_1_upr,theta_2_sim,theta_2_mean,theta_2_sd,theta_2_lwr,theta_2_upr,percent_sig,reduction
0.05,0.0506950867406,0.00641482558489,0.0391084471683,0.0634175152988,0.01,0.00886660950514,0.00598279107071,0.0,0.021286181448, -5,-5.00295177463,0.373490947601,-5.58332336757,-4.24976318168, -20,-20.1844778855,1.93262754119,-24.5140197705,-16.4492260307,0.005,0.00501277302245,0.000659194646186,0.00365850054343,0.00625666126326,0.01,0.00998878436766,0.000547929132948,0.0090136398262,0.0110268257105,100.0,1class
0.05,0.0506950867406,0.00641482558489,0.0391084471683,0.0634175152988,0.01,0.00886660950514,0.00598279107071,0.0,0.021286181448, -5,-5.00295177463,0.373490947601,-5.58332336757,-4.24976318168, -20,-20.1844778855,1.93262754119,-24.5140197705,-16.4492260307,0.005,0.00501277302245,0.000659194646186,0.00365850054343,0.00625666126326,0.01,0.00998878436766,0.000547929132948,0.0090136398262,0.0110268257105,100.0,equal_t
0.05,0.0506950867406,0.00641482558489,0.0391084471683,0.0634175152988,0.01,0.00886660950514,0.00598279107071,0.0,0.021286181448, -5,-5.00295177463,0.373490947601,-5.58332336757,-4.24976318168, -20,-20.1844778855,1.93262754119,-24.5140197705,-16.4492260307,0.005,0.00501277302245,0.000659194646186,0.00365850054343,0.00625666126326,0.01,0.00998878436766,0.000547929132948,0.0090136398262,0.0110268257105,93.0,equal_e
0.05,0.0506950867406,0.00641482558489,0.0391084471683,0.0634175152988,0.01,0.00886660950514,0.00598279107071,0.0,0.021286181448, -5,-5.00295177463,0.373490947601,-5.58332336757,-4.24976318168, -20,-20.1844778855,1.93262754119,-24.5140197705,-16.4492260307,0.005,0.00501277302245,0.000659194646186,0.00365850054343,0.00625666126326,0.01,0.00998878436766,0.000547929132948,0.0090136398262,0.0110268257105,100.0,no_pol
0.05,0.0506950867406,0.00641482558489,0.0391084471683,0.0634175152988,0.01,0.00886660950514,0.00598279107071,0.0,0.021286181448, -5,-5.00295177463,0.373490947601,-5.58332336757,-4.24976318168, -20,-20.1844778855,1.93262754119,-24.5140197705,-16.4492260307,0.005,0.00501277302245,0.000659194646186,0.00365850054343,0.00625666126326,0.01,0.00998878436766,0.000547929132948,0.0090136398262,0.0110268257105,100.0,no_pol_gmax200
0.05,0.0506950867406,0.00641482558489,0.0391084471683,0.0634175152988,0.01,0.00886660950514,0.00598279107071,0.0,0.021286181448, -5,-5.00295177463,0.373490947601,-5.58332336757,-4.24976318168, -20,-20.1844778855,1.93262754119,-24.5140197705,-16.4492260307,0.005,0.00501277302245,0.000659194646186,0.00365850054343,0.00625666126326,0.01,0.00998878436766,0.000547929132948,0.0090136398262,0.0110268257105,100.0,no_pol_gmax5000
