run	imp	exit_code	ins_theta_1	ins_gamma_1	ins_e_1	del_theta_1	del_gamma_1	del_e_1	lnL	sim_ins_theta_1	sim_del_theta_1	sim_ins_gamma_1	sim_del_gamma_1	sim_ins_e_1	sim_del_e_1	model	rep
104	1	3	0.00047502304511588	-4.48984069570986	0.0790775397853644	0.00102207314544298	-16.4470364827872	0.0419829027852624	26643.1105473586	0.0005	0.001	 -5	 -15	0.08	0.04	full	rep1
85	1	3	0.000487614150151203	-4.97047947649048	0.0882402760249445	0.000984825478089056	-15.0637160639078	0.0352265889804291	26725.5781759517	0.0005	0.001	 -5	 -15	0.08	0.04	full	rep2
455	1	3	0.000484225504589911	-4.61128568541977	0.0815245673121334	0.00102167083228229	-15.0534383532254	0.0398944260058822	27585.9670862219	0.0005	0.001	 -5	 -15	0.08	0.04	full	rep3
101	1	3	0.000530173145034598	-5.28356418093226	0.0879719311142123	0.000982244273674405	-14.7713620668003	0.045632500882443	27662.4047201228	0.0005	0.001	 -5	 -15	0.08	0.04	full	rep4
378	1	3	0.000500882494670529	-4.98377138421824	0.0802260071964117	0.00101462150509124	-14.5388471996629	0.0439324088974075	27882.6156548237	0.0005	0.001	 -5	 -15	0.08	0.04	full	rep5
456	1	3	0.000492420140038854	-4.84008334370526	0.0708327834046937	0.000980859683315918	-14.6612414893274	0.0447708635915689	27048.9893521771	0.0005	0.001	 -5	 -15	0.08	0.04	full	rep6
282	1	3	0.000490047487796474	-4.7725562970907	0.0886247516378454	0.00102299134334883	-15.1982512854923	0.035749058641633	27584.0222771363	0.0005	0.001	 -5	 -15	0.08	0.04	full	rep7
474	1	3	0.000497028768143307	-5.12116576107898	0.080651826311439	0.000957985326341803	-14.6724358506246	0.0379582377548095	26599.1845470714	0.0005	0.001	 -5	 -15	0.08	0.04	full	rep8
225	1	3	0.000512815971447583	-4.92457877021009	0.0875330348155028	0.00105218431188983	-15.8893915409869	0.0400989603778072	28215.5710178116	0.0005	0.001	 -5	 -15	0.08	0.04	full	rep9
452	1	3	0.000514760325980709	-5.03812824199432	0.0817515401861658	0.000979547464317271	-14.1412925876542	0.0420758376920738	27797.3760267474	0.0005	0.001	 -5	 -15	0.08	0.04	full	rep10
455	1	3	0.000511340280616605	-4.90024511420498	0.080128468362186	0.000995369902485853	-15.7434052534629	0.0441293874542741	27144.1212589506	0.0005	0.001	 -5	 -15	0.08	0.04	full	rep11
271	1	3	0.00050986448688284	-5.1147069831356	0.0800856701627333	0.000992848640001703	-15.2519224854822	0.0386612024177413	27208.8616641359	0.0005	0.001	 -5	 -15	0.08	0.04	full	rep12
304	1	3	0.000500992803969944	-4.95976072549626	0.0817513744999448	0.00100808510572259	-15.4131260690346	0.0448333798254427	27285.9297645484	0.0005	0.001	 -5	 -15	0.08	0.04	full	rep13
247	1	3	0.000490474817518497	-4.83465907901174	0.0811794655240927	0.000975584386725731	-15.6604185522702	0.036236930369123	26360.6578363067	0.0005	0.001	 -5	 -15	0.08	0.04	full	rep14
256	1	3	0.000493958702323933	-4.90833787943291	0.0867921552958839	0.00103841134472964	-15.5096251017806	0.0441836651900131	27586.0847026101	0.0005	0.001	 -5	 -15	0.08	0.04	full	rep15
367	1	3	0.000504770505930534	-4.8777629937794	0.0926841195099818	0.000968359771645228	-14.9607803929051	0.0406876923760149	26897.4120952546	0.0005	0.001	 -5	 -15	0.08	0.04	full	rep16
448	1	3	0.000505679952956775	-5.07437490700505	0.0849496682938649	0.00105068427797212	-15.420886636045	0.0404170791312654	28057.980670131	0.0005	0.001	 -5	 -15	0.08	0.04	full	rep17
126	1	3	0.000486436214504629	-5.02523439265467	0.078228644544894	0.00100565850447089	-15.4719858069685	0.0403417386672552	26781.8267013638	0.0005	0.001	 -5	 -15	0.08	0.04	full	rep18
397	1	3	0.000498203944333946	-5.04092789274628	0.0797983036306047	0.00101135179191736	-15.548452289291	0.0370621762358512	27177.714157628	0.0005	0.001	 -5	 -15	0.08	0.04	full	rep19
212	1	3	0.000485631131477188	-4.61175060910352	0.0910909507663456	0.0010057342857277	-15.0615030984808	0.0373962704246148	27260.4612557642	0.0005	0.001	 -5	 -15	0.08	0.04	full	rep20
152	1	3	0.000505194140690024	-5.15770821411843	0.0779718529484318	0.00103930590329338	-15.2942873324504	0.0432331328209378	27900.2997018909	0.0005	0.001	 -5	 -15	0.08	0.04	full	rep21
315	1	3	0.000482639885751438	-4.73370598851246	0.0793127800859871	0.00100523555214212	-15.2820362256251	0.0410532162963178	26980.6987146129	0.0005	0.001	 -5	 -15	0.08	0.04	full	rep22
384	1	3	0.000507231796518632	-5.3542601942932	0.0857707280296951	0.000983440846132192	-14.0017617825215	0.0434858835850367	27506.8300532402	0.0005	0.001	 -5	 -15	0.08	0.04	full	rep23
402	1	3	0.000499189224202216	-5.03215620697066	0.0771481978055182	0.00100214708321344	-15.7122411294539	0.0371200142743069	26984.2123488712	0.0005	0.001	 -5	 -15	0.08	0.04	full	rep24
386	1	3	0.000497001125455125	-4.99090315825558	0.073719779841676	0.00102611464868956	-15.622537883122	0.0400751242309483	27451.8540594952	0.0005	0.001	 -5	 -15	0.08	0.04	full	rep25
485	1	3	0.000475479090172905	-4.71285871754858	0.0850377377843168	0.000994828374505121	-15.2703231404211	0.0430565039547307	26538.2690526093	0.0005	0.001	 -5	 -15	0.08	0.04	full	rep26
