run	imp	exit_code	ins_theta	ins_shape	ins_scale	ins_e	del_theta	del_shape	del_scale	del_e	lnL	sim_ins_theta	sim_del_theta	sim_ins_shape	sim_del_shape	sim_ins_scale	sim_del_scale	sim_ins_e	sim_del_e	model	rep
68	1	3	0.000505481853317303	0.522011883545753	9.68957052229781	0.0802699631297231	0.000987076708061611	0.257556519426907	42.4772520566869	0.0404086140367826	632913.850810698	0.0005	0.001	0.5	0.25	10	50	0.08	0.04	full	rep1
168	1	3	0.000508799808454423	0.499545500666061	10.6945842028799	0.0821043376379376	0.000983386048983627	0.27147609124669	38.7401666532228	0.0411040297258821	629978.173166286	0.0005	0.001	0.5	0.25	10	50	0.08	0.04	full	rep2
24	1	3	0.000502397883783004	0.559323045376457	8.32047230911537	0.0824018077053215	0.00103630168381641	0.236575344191655	70.1491990937525	0.0383659002519557	632881.856600656	0.0005	0.001	0.5	0.25	10	50	0.08	0.04	full	rep3
48	1	3	0.000506657680264845	0.496849421718564	10.8310849482739	0.0772553214165561	0.00102343900470946	0.225402737470694	73.4506058361639	0.0411345834834807	629650.590066288	0.0005	0.001	0.5	0.25	10	50	0.08	0.04	full	rep4
25	1	3	0.000515389613816301	0.362890302302477	20.6552912356387	0.0807906783460032	0.00101892910774929	0.242989609767486	59.4650117495652	0.040036231996216	628445.618563949	0.0005	0.001	0.5	0.25	10	50	0.08	0.04	full	rep5
193	1	3	0.000497519409581866	0.540455430547272	8.62207801423036	0.0785168632259401	0.00099692420619593	0.241094477893337	54.7788077411521	0.0418932329863127	627766.169144009	0.0005	0.001	0.5	0.25	10	50	0.08	0.04	full	rep6
57	1	3	0.00048679064955395	0.766137125573701	4.77037551975947	0.0779297351297577	0.000974948890044101	0.271151059042213	36.7717287852262	0.0419218124844191	629352.318827121	0.0005	0.001	0.5	0.25	10	50	0.08	0.04	full	rep7
196	1	3	0.000499732248333057	0.499342967965265	9.91329164233874	0.0799232135566331	0.000989695283139967	0.254989569872851	43.687269205807	0.0378558724383958	633040.915909413	0.0005	0.001	0.5	0.25	10	50	0.08	0.04	full	rep8
47	1	3	0.000500695497041325	0.545910169963203	9.07107095229413	0.0786787892754566	0.000991373889263907	0.267556069777345	40.9354061709021	0.0406189282298383	629738.477773262	0.0005	0.001	0.5	0.25	10	50	0.08	0.04	full	rep9
135	1	3	0.000501467854213005	0.420419747923916	13.1818830209373	0.0835162854650329	0.000990242846473373	0.254554059403892	46.13245821206	0.0371209018095083	629115.867413327	0.0005	0.001	0.5	0.25	10	50	0.08	0.04	full	rep10
