run	imp	exit_code	data_1_theta_1	data_1_gamma_1	data_1_e_1	data_1_theta_2	data_1_gamma_2	data_1_e_2	lnL	sim_theta_1	sim_theta_2	sim_gamma_1	sim_gamma_2	sim_e_1	sim_e_2
48	3	3	117.689169333028	-11.3827220281094	6.66133814775094e-18	473.479387271783	-23.0501752789475	1.55431223447522e-17	1802.68919424648	500	100	 -25	 -10	0.0	0.0
2	3	3	202.005609504872	-163.512780168203	1.55431223447522e-17	478.526178589468	-15.7828659324145	2.55351295663786e-16	1791.96227990106	500	100	 -25	 -10	0.0	0.0
2	3	3	202.005609504872	-163.512780168203	1.55431223447522e-17	478.526178589468	-15.7828659324145	2.55351295663786e-16	1791.96227990106	500	100	 -25	 -10	0.0	0.0
80	3	3	230.801724816497	-500	4.44089209850063e-18	497.011567657656	-17.7576212993084	2.35367281220533e-16	1638.8388069187	500	100	 -25	 -10	0.0	0.0
80	3	3	230.801724816497	-500	4.44089209850063e-18	497.011567657656	-17.7576212993084	2.35367281220533e-16	1638.8388069187	500	100	 -25	 -10	0.0	0.0
22	3	3	441.893524727919	-18.3187140049768	5.10702591327572e-17	48.0528956710804	-6.84824324219268	8.88178419700125e-18	1647.2683929275	500	100	 -25	 -10	0.0	0.0
91	3	3	1442.68006876774	-500	0	503.950063069552	-17.5899870345272	0	1951.37291265026	500	100	 -25	 -10	0.0	0.0
91	3	3	1442.68006876774	-500	0	503.950063069552	-17.5899870345272	0	1951.37291265026	500	100	 -25	 -10	0.0	0.0
91	3	3	1442.68006876774	-500	0	503.950063069552	-17.5899870345272	0	1951.37291265026	500	100	 -25	 -10	0.0	0.0
39	2	3	547.760044180239	-20.1283024931055	9.99200722162641e-17	10.2255552889461	-4.1176313456265	4.86277684785819e-16	1697.0676399614	500	100	 -25	 -10	0.0	0.0
89	3	3	101.603259592691	-10.76957557749	0	533.396922965639	-22.6939563367663	0	1958.49118754761	500	100	 -25	 -10	0.0	0.0
89	3	3	101.603259592691	-10.76957557749	0	533.396922965639	-22.6939563367663	0	1958.49118754761	500	100	 -25	 -10	0.0	0.0
89	3	3	101.603259592691	-10.76957557749	0	533.396922965639	-22.6939563367663	0	1958.49118754761	500	100	 -25	 -10	0.0	0.0
28	3	3	533.463566275395	-20.7405048427366	0	50.3227860346312	-7.9069356703631	0	1837.42208305706	500	100	 -25	 -10	0.0	0.0
97	2	3	570.876648368583	-20.369428721867	6.66133814775094e-18	3.76882294025298	-20.3694458452245	0	1698.36276645046	500	100	 -25	 -10	0.0	0.0
97	2	3	570.876648368583	-20.369428721867	6.66133814775094e-18	3.76882294025298	-20.3694458452245	0	1698.36276645046	500	100	 -25	 -10	0.0	0.0
97	2	3	570.876648368583	-20.369428721867	6.66133814775094e-18	3.76882294025298	-20.3694458452245	0	1698.36276645046	500	100	 -25	 -10	0.0	0.0
86	3	3	1532.95009895907	-500	0	405.844967283549	-14.4946694310779	0	1777.28434232198	500	100	 -25	 -10	0.0	0.0
40	3	3	436.672646101292	-17.2687642532885	2.22044604925031e-18	1342.35951201786	-500	0	1674.62059887294	500	100	 -25	 -10	0.0	0.0
40	3	3	436.672646101292	-17.2687642532885	2.22044604925031e-18	1342.35951201786	-500	0	1674.62059887294	500	100	 -25	 -10	0.0	0.0
40	3	3	436.672646101292	-17.2687642532885	2.22044604925031e-18	1342.35951201786	-500	0	1674.62059887294	500	100	 -25	 -10	0.0	0.0
94	3	3	3048.12446891506	-500	6.21724893790088e-17	278.337178318738	-13.2482317553776	5.32907051820075e-17	1602.60985704626	500	100	 -25	 -10	0.0	0.0
84	3	3	420.151430870962	-22.636085503063	6.88338275267597e-17	140.968510976802	-12.3621056817123	3.5527136788005e-17	1729.43470962364	500	100	 -25	 -10	0.0	0.0
48	2	3	413.585790431861	-15.7186155367964	0	1975.30441741686	-500	4.44089209850063e-18	1821.21588758901	500	100	 -25	 -10	0.0	0.0
70	3	3	174.732316537621	-27.6265055864588	0	464.368980821687	-20.1089496386463	0	1833.21673670401	500	100	 -25	 -10	0.0	0.0
70	3	3	174.732316537621	-27.6265055864588	0	464.368980821687	-20.1089496386463	0	1833.21673670401	500	100	 -25	 -10	0.0	0.0
94	3	3	3048.12446891506	-500	6.21724893790088e-17	278.337178318738	-13.2482317553776	5.32907051820075e-17	1602.60985704626	500	100	 -25	 -10	0.0	0.0
70	3	3	174.732316537621	-27.6265055864588	0	464.368980821687	-20.1089496386463	0	1833.21673670401	500	100	 -25	 -10	0.0	0.0
31	3	3	28.7139867392396	-6.33543891854955	2.22044604925031e-18	462.875258889675	-19.8574188779422	1.99840144432528e-17	1511.39395883675	500	100	 -25	 -10	0.0	0.0
25	3	3	557.198824135845	-20.981043694685	2.64233079860787e-16	29.7626866591684	-5.90346118266622	2.22044604925031e-18	1800.7124473537	500	100	 -25	 -10	0.0	0.0
67	3	3	380.195153307755	-87.6099319184914	0	351.431064970828	-13.3673474868775	0.00289671080107529	1696.80427684072	500	100	 -25	 -10	0.0	0.0
67	3	3	380.195153307755	-87.6099319184914	0	351.431064970828	-13.3673474868775	0.00289671080107529	1696.80427684072	500	100	 -25	 -10	0.0	0.0
33	3	3	550.060609079075	-47.8816110081663	0	193.725294962019	-10.9856516603806	0	1682.98042961809	500	100	 -25	 -10	0.0	0.0
25	3	3	557.198824135845	-20.981043694685	2.64233079860787e-16	29.7626866591684	-5.90346118266622	2.22044604925031e-18	1800.7124473537	500	100	 -25	 -10	0.0	0.0
25	3	3	557.198824135845	-20.981043694685	2.64233079860787e-16	29.7626866591684	-5.90346118266622	2.22044604925031e-18	1800.7124473537	500	100	 -25	 -10	0.0	0.0
