e_sim,e_mean,e_sd,e_lwr,e_upr,gamma_sim,gamma_mean,gamma_sd,gamma_lwr,gamma_upr,theta_sim,theta_mean,theta_sd,theta_lwr,theta_upr,percent_sig
0.1,0.099586644105,0.00750480862352,0.0871221896727,0.114124932631, -10,-10.0728078551,0.571303044841,-11.1556269398,-9.12803164879,1000,1003.01542697,46.2043870635,925.880386448,1101.14222788,100.0
0.1,0.0995659732138,0.0102853191127,0.0798369591,0.119060739922, 0,0.012591596584,0.207998937605,-0.380948207399,0.444921356517,1000,1003.3140499,29.1202315326,942.36003182,1051.22659359,100.0
0.0,0.012209230921,0.0173037669395,0.0,0.0539610995755, 5,4.76787567267,0.38231578316,3.98614676786,5.44671648546,1000,1009.00008995,20.6908151811,974.943202095,1052.65143823,1.0
0.0,0.000684382310802,0.000950065868942,0.0,0.00294763570327, -5,-5.03469850231,0.222633291889,-5.47481269042,-4.65504380946,1000,1000.00296357,34.1615548549,935.962388705,1067.49201235,0.0
0.1,0.100783330469,0.0299495853952,0.0472809443021,0.154015924252, 5,4.99623741242,0.813082207534,3.4762841396,6.51764016965,1000,1002.50054532,36.0580447483,944.81101444,1080.73749637,73.0
0.1,0.101837354837,0.00732426413627,0.0881256564359,0.115689409285, -5,-4.99018879388,0.220178068261,-5.40092122151,-4.5839202218,1000,1002.3420715,35.0838264859,946.637325111,1075.10732671,100.0
0.0,0.0031414039433,0.00460712848074,0.0,0.0148309085082, 0,-0.0678194430068,0.166294075332,-0.34374347628,0.294976160573,1000,1011.86793278,29.4890098375,949.924424165,1062.45426967,1.0
0.0,0.00011085630053,0.000297685678035,0.0,0.00092196286532, -10,-10.097061204,0.476644912725,-10.9326880365,-9.1442902208,1000,1007.92626646,39.3229572991,938.232773331,1085.60210464,4.0
