run	imp	exit_code	data_1_theta_1	data_1_gamma_1	data_1_e_1	data_1_theta_2	data_1_gamma_2	data_1_e_2	lnL	sim_theta_1	sim_theta_2	sim_gamma_1	sim_gamma_2	sim_e_1	sim_e_2
27	3	3	4735.33957906069	-24.0878525609895	3.37507799486048e-16	1069.29336006411	-9.8171854286073	9.76996261670138e-17	27250.3388219275	5000	1000	 -25	 -10	0.0	0.0
57	3	3	5480.71017206787	-25.7928504985859	6.77236045021345e-16	794.627227309382	-8.86207304685469	2.02060590481778e-16	27573.2558618923	5000	1000	 -25	 -10	0.0	0.0
56	3	3	658.230669674113	-9.64201497271081	0	5192.66087874109	-22.2393005884171	0	27471.7266982096	5000	1000	 -25	 -10	0.0	0.0
73	3	3	5457.45575922218	-25.9766167237783	6.26165785888588e-16	846.738782371029	-9.10333246224193	1.86517468137026e-16	27697.2881964533	5000	1000	 -25	 -10	0.0	0.0
40	2	3	4493.96570288679	-34.2951407898179	0	1967.06537021774	-11.8150670172149	0.00043694202607383	27001.1105387636	5000	1000	 -25	 -10	0.0	0.0
41	3	3	3770.13061833819	-14.8618894853742	1.13020703906841e-15	4512.92831822685	-95.7368041331392	2.73558953267639e-15	27463.7998785327	5000	1000	 -25	 -10	0.0	0.0
8	2	3	5333.55119725491	-21.7206928053424	0	434.04825854556	-7.93985843898755	0	27112.0636334139	5000	1000	 -25	 -10	0.0	0.0
61	3	3	4963.15189047005	-27.9634894341272	8.88178419700125e-18	1336.24869740477	-11.2619004990825	4.44089209850063e-18	27281.8307662121	5000	1000	 -25	 -10	0.0	0.0
5	3	3	4469.21045138646	-17.393583143262	2.99937852332732e-14	1319.14391411761	-40.7104580092533	4.40980585381112e-15	26568.6604089936	5000	1000	 -25	 -10	0.0	0.0
22	3	3	5553.59033008201	-21.7252383171934	4.86055640180894e-15	295.334581803776	-6.93970201222577	5.17363929475323e-16	27108.0496496861	5000	1000	 -25	 -10	0.0	0.0
74	3	3	2530.07365785532	-13.304734237725	6.48370246381091e-15	3709.89370177256	-32.5713107368477	4.79394302033143e-15	27673.2560410907	5000	1000	 -25	 -10	0.0	0.0
84	1	3	4627.41763147062	-41.5380379195022	0	2269.32087644042	-11.9807149233926	0	27257.0773807369	5000	1000	 -25	 -10	0.0	0.0
73	3	3	5495.26300200457	-22.0522303922825	8.88178419700125e-18	462.242072222177	-8.15733188052038	0	27849.1163960106	5000	1000	 -25	 -10	0.0	0.0
48	3	3	770.031476795596	-9.17910119069674	1.46771483855446e-15	4802.22852662964	-22.6610802431785	1.10622622173651e-14	26311.08655352	5000	1000	 -25	 -10	0.0	0.0
78	3	3	2799.27547584776	-13.5805455180022	0	3437.13773701398	-38.7718034771353	7.7715611723761e-16	26622.2262665009	5000	1000	 -25	 -10	0.0	0.0
7	3	3	4922.53837558694	-21.5808987126722	3.17523785042795e-16	744.55125084452	-9.596482736836	1.77635683940025e-17	27395.5274033513	5000	1000	 -25	 -10	0.0	0.0
25	2	3	5166.95561102895	-25.6474362096992	1.99840144432528e-17	920.41387572884	-9.16071335886906	6.66133814775094e-18	27229.2772312979	5000	1000	 -25	 -10	0.0	0.0
71	3	3	4291.05851425477	-33.7033133253938	2.44249065417534e-17	1983.88476288839	-11.2031964018433	2.66453525910038e-17	27086.5311564042	5000	1000	 -25	 -10	0.0	0.0
22	3	3	2691.85279717323	-42.217014166208	9.70334923522387e-16	3425.45649800977	-14.8142402830784	2.81330514440015e-15	26682.8984567897	5000	1000	 -25	 -10	0.0	0.0
47	3	3	4907.60724066776	-27.8214177124886	3.10862446895044e-17	1302.09134962017	-10.8740624407318	1.55431223447522e-17	27061.5175170732	5000	1000	 -25	 -10	0.0	0.0
26	3	3	945.880936968183	-9.72611802654	6.66133814775094e-18	5429.0578285519	-26.3841759405468	2.22044604925031e-17	27873.9622254866	5000	1000	 -25	 -10	0.0	0.0
55	1	3	1055.84076760409	-10.039824249119	0	4541.96106882255	-23.4978858264515	0	26499.1411914321	5000	1000	 -25	 -10	0.0	0.0
79	3	3	838.622011007084	-8.79671679881343	1.37667655053519e-16	5187.85039793009	-24.8719287896855	4.35207425653061e-16	27305.218255488	5000	1000	 -25	 -10	0.0	0.0
99	2	3	5439.69442820025	-20.4206237240423	1.55431223447522e-17	143.194099272666	-5.95826699083743	1.11022302462516e-17	26339.7521826326	5000	1000	 -25	 -10	0.0	0.0
18	2	3	720.015031448622	-10.1862503366878	4.77395900588817e-16	5530.55044429173	-24.5608391558042	4.44089209850063e-18	27597.8077848414	5000	1000	 -25	 -10	0.0	0.0
94	2	3	517.78573033425	-7.6513184396988	0	5364.96738342153	-23.757155113834	1.01918473660589e-15	26447.7149998409	5000	1000	 -25	 -10	0.0	0.0
22	2	3	4456.32348598497	-26.8092602412661	4.16111589629509e-15	1555.01166275074	-11.8116513820095	2.32480701356508e-15	27112.1008388165	5000	1000	 -25	 -10	0.0	0.0
38	3	3	469.946520041317	-8.67540444590861	1.55431223447522e-17	5420.23485556776	-22.2413077949377	0.000253105391036017	27230.9863600045	5000	1000	 -25	 -10	0.0	0.0
18	3	3	2164.01863367007	-11.9771014457762	1.11022302462516e-16	4078.25968589287	-36.008444774779	9.10382880192628e-17	26301.3782214165	5000	1000	 -25	 -10	0.0	0.0
51	3	3	1985.5865642085	-11.6039492265523	0	4422.23046390078	-37.5847415119201	0	25925.0754075165	5000	1000	 -25	 -10	0.0	0.0
4	3	3	534.383793296785	-8.94848782287913	0	5666.27706994059	-24.1675551237918	0	27329.2374454146	5000	1000	 -25	 -10	0.0	0.0
62	2	3	4837.0115096381	-33.7465987195251	2.22044604925031e-17	1698.75777307474	-10.8016165636693	6.46149800331841e-16	27127.5629734154	5000	1000	 -25	 -10	0.0	0.0
88	3	3	4969.00589830916	-24.4502317939976	2.00728322852228e-15	843.27035086416	-10.0216871320076	1.03028696685215e-15	26118.6077642584	5000	1000	 -25	 -10	0.0	0.0
31	1	3	4974.90965698735	-84.6726878230996	0	3310.12059213343	-13.9438130380058	0	26901.6805652148	5000	1000	 -25	 -10	0.0	0.0
7	3	3	893.846264285822	-10.2214514048912	0	5161.58734165785	-22.6775838514289	0	28719.7017608193	5000	1000	 -25	 -10	0.0	0.0
68	3	3	4041.25473001363	-30.5655038934699	2.22044604925031e-18	1966.3269650102	-11.8737260494359	5.02042851735496e-15	26690.5297197435	5000	1000	 -25	 -10	0.0	0.0
7	3	3	2440.33423065173	-12.5147137135186	9.76996261670138e-17	3944.54231321749	-39.0026630349034	6.66133814775094e-17	26590.3428763153	5000	1000	 -25	 -10	0.0	0.0
9	3	3	3084.56338764753	-13.6920639803478	2.22044604925031e-18	4168.38479681414	-52.8351130524374	5.32907051820075e-17	27818.9430863313	5000	1000	 -25	 -10	0.0	0.0
7	3	3	1655.76789677902	-10.5275136984729	0	4575.15626617215	-31.2375775118882	0	27054.8426368028	5000	1000	 -25	 -10	0.0	0.0
94	3	3	4713.72351352033	-30.4436560211826	2.22044604925031e-18	1769.95739590317	-12.9539335123257	0	27265.0000651576	5000	1000	 -25	 -10	0.0	0.0
99	2	3	5166.27269063137	-21.3395341769248	3.38173933300823e-15	560.168760907887	-8.88642237907124	6.21724893790088e-17	27482.6068331498	5000	1000	 -25	 -10	0.0	0.0
17	3	3	5510.06118141365	-22.3287551009839	2.04058991926104e-14	427.607374649061	-9.01491968647869	2.89546164822241e-15	27157.5271176548	5000	1000	 -25	 -10	0.0	0.0
27	2	3	3650.79275695373	-31.725731663855	0	2323.92755646611	-12.2713331779073	0	27095.1595747201	5000	1000	 -25	 -10	0.0	0.0
23	2	3	2288.54297373354	-12.2732521538174	0	4499.03762867797	-38.5003557374781	0	27644.8134019081	5000	1000	 -25	 -10	0.0	0.0
56	3	3	1114.66267949595	-9.76899623016503	1.55431223447522e-17	5280.66001246846	-29.3165058109353	3.33066907387547e-17	26834.2000113603	5000	1000	 -25	 -10	0.0	0.0
63	3	3	4042.68964730273	-34.2248422446544	0	2269.73502682413	-12.8155397603803	0	26878.6899038738	5000	1000	 -25	 -10	0.0	0.0
75	3	3	5557.51926809476	-20.6283592063863	6.66133814775094e-18	133.060496222783	-5.36635220379755	0	26718.8068444888	5000	1000	 -25	 -10	0.0	0.0
66	3	3	4685.42406325876	-30.0034469142919	0	1486.15608427448	-10.568680225862	6.66133814775094e-18	26656.8134338356	5000	1000	 -25	 -10	0.0	0.0
54	3	3	5230.34264412674	-25.8042681623926	1.33226762955019e-17	921.881249435163	-9.75033017951742	4.44089209850063e-18	27163.126377794	5000	1000	 -25	 -10	0.0	0.0
36	3	3	2628.30177098075	-13.0738123504591	4.44089209850063e-18	3666.04249949592	-36.9298995661893	0.000604971522630056	27083.5024851994	5000	1000	 -25	 -10	0.0	0.0
34	3	3	499.103483952789	-8.94196729542391	0	5426.9712070079	-22.0746288484725	4.44089209850063e-18	27609.5556487051	5000	1000	 -25	 -10	0.0	0.0
