e_1_sim,e_1_mean,e_1_sd,e_1_lwr,e_1_upr,e_2_sim,e_2_mean,e_2_sd,e_2_lwr,e_2_upr,gamma_1_sim,gamma_1_mean,gamma_1_sd,gamma_1_lwr,gamma_1_upr,gamma_2_sim,gamma_2_mean,gamma_2_sd,gamma_2_lwr,gamma_2_upr,theta_1_sim,theta_1_mean,theta_1_sd,theta_1_lwr,theta_1_upr,theta_2_sim,theta_2_mean,theta_2_sd,theta_2_lwr,theta_2_upr,percent_sig
0.1,0.0628402900284,0.0505006126709,0.0,0.159860424041,0.1,0.166675181635,0.0898345194693,0.000807892928527,0.306788836859, 0,0.209702825516,0.696078356617,-1.95460721812,0.933139290386, -5,-3.96819015362,1.77323779639,-6.17935949005,1.14550091976,100000,86548.386742,13538.987472,61318.0819291,100000.0,20000,33420.1678486,13298.3765806,19775.9107417,58057.7606132,100.0
0.2,0.157413157359,0.085454351897,1.53116075668e-09,0.312954597861,0.1,0.179181465794,0.127516775956,0.0044754546412,0.401732564665, 0,0.302701632358,0.886506613818,-2.55763106094,1.54675681175, -5,-4.09561808213,1.56104185123,-6.03272594845,1.45358904731,100000,86471.5830661,16161.657957,61298.0530903,100000.0,20000,33500.7850773,16105.4467773,19578.1335184,58475.5175112,100.0
0.1,0.062534765988,0.0510545386524,0.0,0.133025311615,0.1,0.174418638438,0.0981988128171,0.00235746156041,0.32745474046, 0,-0.270353988885,0.540755306627,-0.997949143777,0.0861405817118, 5,4.46557115728,1.24459962287,2.48276891883,6.14826016995,100000,89485.4917988,12482.5004359,62968.9443806,100000.0,20000,30459.0321773,12580.0826066,19380.0954584,57131.8192631,100.0
0.2,0.198099881109,0.0157114191301,0.153104773634,0.219662392129,0.1,0.124331543866,0.0362118007616,0.0774201760024,0.220355516845, -10,-10.0070963976,1.14073776537,-11.6276379228,-6.87822085682, -5,-6.08244896899,2.13622802127,-12.3572481285,-4.87277195182,100000,89683.2161752,13223.871811,61184.2330583,100000.0,20000,30411.8316692,13348.1094067,19520.219703,58837.0638932,100.0
0.1,0.0822093072095,0.0240927518883,0.0311547673264,0.12032566122,0.1,0.171710986956,0.0950466908113,0.0,0.338065384921, -10,-9.96629396986,0.132048766665,-10.2563197359,-9.71981017685, 5,4.27566505528,1.06558414195,1.80850288367,5.61172638522,100000,98903.9829341,1861.40616834,94310.042208,100000.0,20000,21072.0281874,1920.11343054,19433.2191604,26177.6573082,100.0
0.2,0.177082610646,0.0269975162192,0.130409278902,0.221186831722,0.1,0.195296204837,0.111982132491,0.0,0.350273704488, -10,-9.96830876969,0.170521176162,-10.197498473,-9.623283763, 5,3.91667806898,1.23624417924,1.52327476594,5.635919778,100000,98178.2539144,2294.71327132,92650.1133288,100000.0,20000,21725.7713206,2296.5632207,19463.1489322,27457.0844609,100.0
0.1,0.0986892092146,0.00519975489009,0.0865536875242,0.107419221392,0.1,0.10168666448,0.0109656244824,0.0804603287985,0.118947201093, -10,-10.2504588599,0.918232749963,-11.8638973375,-6.98510245227, -5,-5.69925801602,1.53895016978,-12.0768029089,-4.85341711602,100000,90998.1563043,13273.6796814,61767.0586922,100000.0,20000,29188.0652286,13416.311262,19508.6520434,58761.7377449,100.0
0.2,0.172401637659,0.0872993172774,1.27365728075e-09,0.342731784836,0.1,0.171406461872,0.135012356458,0.000842708393526,0.412033665116, 0,-0.0725691534091,1.03406100327,-1.52096873992,2.86608421076, 5,3.82298272494,2.26385447935,-1.9217450003,6.73326637926,100000,87121.5706665,14388.7444032,61102.4655526,100000.0,20000,32857.7025008,14487.9242287,19265.1364479,59224.2972197,100.0
