run	imp	exit_code	data_1_theta_1	data_1_gamma_1	data_1_e_1	data_1_theta_2	data_1_gamma_2	data_1_e_2	lnL	sim_theta_1	sim_theta_2	sim_gamma_1	sim_gamma_2	sim_e_1	sim_e_2
51	3	3	6847.94608832099	-262.712079317082	0	12358.4145478387	-3.12257640130119	0	215214.513224193	10000	3000	 -5	0	0	0
98	3	3	9909.9204880518	-7.42032351759549	0	2168.01259149261	88.7153925357987	0	217055.069400701	10000	3000	 -5	0	0	0
87	3	3	2060.00466030601	-32.1054793578428	0	11713.1129371982	-2.90478204792131	0	213709.199412869	10000	3000	 -5	0	0	0
95	3	3	10827.574660835	-5.36974205841103	0	1524.70682446081	20.0047254491596	0	212534.822438255	10000	3000	 -5	0	0	0
14	3	3	2577.80193989426	-14.2674748310449	0	10654.3828452337	-2.57802560596196	0	213674.444598621	10000	3000	 -5	0	0	0
23	3	3	10768.3568877865	-2.69769511756999	0	2524.46977116119	-11.928609943294	0	214860.658548626	10000	3000	 -5	0	0	0
77	3	3	10747.4215762372	-7.86666989425904	0	2160.79782508453	24.2831344340728	0	214471.795924251	10000	3000	 -5	0	0	0
6	3	3	10312.6219552915	-5.77306325485746	0	1685.02514552561	47.9893159774736	0	212570.929125472	10000	3000	 -5	0	0	0
4	3	3	1912.13755271507	58.9162842834866	0	10294.2227983178	-6.5351293907482	0	215813.160273193	10000	3000	 -5	0	0	0
68	3	3	11387.2074039626	-5.41205993040456	0	1502.24522951554	9.16992215788381	0	212298.336975858	10000	3000	 -5	0	0	0
52	3	3	5461.14452816092	-223.828989049142	0	12121.4454754055	-3.01245199484524	0	213536.545282388	10000	3000	 -5	0	0	0
66	3	3	10854.5793234931	-5.61533352355314	0	1615.83477063889	28.8617159622446	0	216300.293515222	10000	3000	 -5	0	0	0
77	3	3	9260.25300600416	-2.27843807114736	0	3794.31400435761	-8.83919153155926	0	213867.78862265	10000	3000	 -5	0	0	0
94	5	3	11181.3469567755	-2.73716098268815	0	1858.65480114418	-11.8600907359848	0	215959.585468177	10000	3000	 -5	0	0	0
96	3	3	10079.6519310527	-7.52289125918613	0	2136.97734894177	57.792869469039	0	214534.014163625	10000	3000	 -5	0	0	0
4	4	3	982.829525206742	-28.8408130097392	0	12052.4366672044	-2.99840303566381	0	213123.846714103	10000	3000	 -5	0	0	0
75	3	3	10145.9441889474	-5.91771161150628	0	1814.00108459256	41.9770685899526	0	214507.307394792	10000	3000	 -5	0	0	0
12	3	3	2961.28879077277	-19.5332627213806	0	10760.9823822515	-2.62138553991916	0	212969.30683311	10000	3000	 -5	0	0	0
10	4	3	11327.8418566888	-2.72502563905929	0	2778.84451506048	-25.2524946091256	0	217116.347981339	10000	3000	 -5	0	0	0
100	3	3	11304.1483367546	-3.80998388322884	0	751.269465026307	60.8397225600144	0	214110.163282163	10000	3000	 -5	0	0	0
94	3	3	11860.3215494208	-2.97552950624728	0	2673.62783954362	-50.9990022921547	0	213461.805225744	10000	3000	 -5	0	0	0
95	4	3	10934.7011375864	-6.44675696640933	0	1955.1603160822	11.4492219926469	0	214513.314067672	10000	3000	 -5	0	0	0
87	3	3	1234.99421173307	36.8778639704357	0	10748.9781536739	-4.70936719019673	0	210858.566423412	10000	3000	 -5	0	0	0
74	3	3	1987.48836043141	63.8687303681564	0	10181.1192688273	-6.94734254606151	0	214085.253358892	10000	3000	 -5	0	0	0
43	3	3	4244.73196970841	-342.528012709481	0	12373.9565095108	-3.07086759705897	0	214600.390612265	10000	3000	 -5	0	0	0
33	3	3	2182.3637140266	43.7292532477323	0	10673.9712404495	-8.28470454216161	0	215419.885312858	10000	3000	 -5	0	0	0
56	3	3	10336.5235747533	-2.5620956971484	0	2919.52066175593	-10.908750566584	0	215065.568751227	10000	3000	 -5	0	0	0
7	3	3	2016.51765483176	17.929879623503	0	10748.3987442966	-6.94173528512791	0	213970.734287545	10000	3000	 -5	0	0	0
8	3	3	12296.6330651138	-3.01949075317212	0	3938.06571620646	-393.060936626846	0	214208.078700548	10000	3000	 -5	0	0	0
41	4	3	11558.8087769141	-3.92843074394173	0	740.80455669185	25.9906925593723	0	213244.802307339	10000	3000	 -5	0	0	0
61	3	3	2667.2577860523	-34.0412953662182	0	11527.4280872179	-2.87830534023395	0	212995.089798797	10000	3000	 -5	0	0	0
