run	imp	exit_code	data_1_theta_1	data_1_gamma_1	data_1_e_1	data_1_theta_2	data_1_gamma_2	data_1_e_2	lnL	sim_theta_1	sim_theta_2	sim_gamma_1	sim_gamma_2	sim_e_1	sim_e_2
89	3	3	2732.81404528058	-0.324536656895617	0	4831.9263963231	-10.8974381013421	0	95461.7387942392	5000	2500	 -10	0	0	0
76	3	3	2897.36792242402	-0.426513156184487	0	4688.51472474821	-11.1115324852548	0.00079125092645302	96806.2285924542	5000	2500	 -10	0	0	0
94	2	3	4934.24773362564	-10.1916294555702	0	2518.73941357645	-0.0754069221279377	0	94842.2011807456	5000	2500	 -10	0	0	0
88	3	3	5236.08664914853	-11.2152284904117	0	2617.57944467686	-0.0844317528332345	2.22044604925031e-18	97216.5452312546	5000	2500	 -10	0	0	0
93	4	3	5063.90052723594	-10.9351978181614	0	2663.0643679594	-0.22363132428465	0	96533.0202975795	5000	2500	 -10	0	0	0
65	3	3	2705.09115402583	-0.204551222545136	0	4827.87029419348	-11.1071697194321	0	95109.6648492251	5000	2500	 -10	0	0	0
93	4	3	5028.73760304179	-9.32440732667253	4.44089209850063e-18	2383.79855918786	0.133877052470572	0	96413.4265363329	5000	2500	 -10	0	0	0
56	2	3	2882.06656881717	-0.516263212479016	4.44089209850063e-18	4659.25547849362	-10.8203817825389	0	96218.0446499197	5000	2500	 -10	0	0	0
56	3	3	2562.36260832356	-0.126589164688439	0.00639338374856873	4858.1551569859	-10.1241438292054	0	94940.0019227385	5000	2500	 -10	0	0	0
4	2	3	4766.17846674521	-10.0510107874617	0	2648.98674184078	-0.17933334423879	0	96125.8352333154	5000	2500	 -10	0	0	0
38	3	3	4826.7056340823	-12.2448448526474	0	2852.51161218109	-0.430167369959019	8.21565038222616e-17	94350.8084368884	5000	2500	 -10	0	0	0
20	3	3	5139.55682220177	-11.3530415333019	0	2657.53945945167	-0.095391447631757	0.000989272810307842	96894.6249832467	5000	2500	 -10	0	0	0
80	3	3	4524.14028201366	-11.2393314009723	0	2967.89309641991	-0.54906101666541	0.00745275888928253	95619.1483037086	5000	2500	 -10	0	0	0
45	3	3	4531.21980421217	-11.3919279456077	0	2980.38046144809	-0.517872578805311	0.00397780352444458	95939.8048966906	5000	2500	 -10	0	0	0
65	4	3	2379.00732561297	0.0513481056940023	0	4891.11589364086	-9.24012243416834	0.00274136580076469	94589.8357230538	5000	2500	 -10	0	0	0
100	3	3	2556.1445089516	-0.137398616800118	0	4795.16731626982	-9.61434836621612	0.000903435103060644	95665.1662410497	5000	2500	 -10	0	0	0
89	2	3	2966.07365085466	-0.581518248137509	0.00682202234267888	4657.98845939647	-11.7403760783959	0	95392.4434232065	5000	2500	 -10	0	0	0
82	2	3	2746.80275092973	-0.251900922733881	0	5224.35874718422	-12.504232751223	0.00231949013692472	95884.7692967987	5000	2500	 -10	0	0	0
22	3	3	2209.5303790214	0.22666278454754	0.00140626523764408	5135.350319104	-8.56149349912183	0	96285.5921611092	5000	2500	 -10	0	0	0
1	2	3	5027.73164888793	-9.6227596237823	0	2383.08202471855	0.0805760576540356	2.22044604925031e-18	95070.4248750153	5000	2500	 -10	0	0	0
94	2	3	4599.70381058888	-10.5106551583803	0	2818.4426550578	-0.379657945522649	0	95954.7953041243	5000	2500	 -10	0	0	0
40	4	3	2756.58750738888	-0.193265758841719	0.00161848550336329	4865.90954963645	-11.6260650232157	0	95528.9400030736	5000	2500	 -10	0	0	0
45	3	3	2331.28740863998	0.13246673248036	0	5215.64327505727	-9.54380128013151	2.22044604925031e-18	96214.4662453478	5000	2500	 -10	0	0	0
87	3	3	3322.49550708176	-0.743354268410359	0	4917.57842662402	-16.0459125990538	0.00442626734665276	96602.0127435111	5000	2500	 -10	0	0	0
