run	imp	exit_code	theta_1	gamma_1	e_1	theta_2	gamma_2	e_2	theta_3	gamma_3	e_3	lnL	sim_theta_1	sim_gamma_1	sim_e_1	sim_theta_2	sim_gamma_2	sim_e_2	sim_theta_3	sim_gamma_3	sim_e_3	model	rep
2187	1	3	0.00413914038717273	-15.0560805219865	0	0.0058119777833011	-2.14030878079914	0.0437276667559661	NA	NA	NA	461528.411460777	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep32
9089	1	3	0.0040654863396152	-1.29543212309585	0.0416310701544055	0.000941531953069782	-102.7778289333	0	0.00510258361125876	-8.14949974785961	0.0119965643415984	460938.343150927	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep34
8339	1	3	0.00441749459830322	-11.3519137487965	0	0.00524116671525918	-1.8616965278204	0.043871589313978	NA	NA	NA	460935.485782008	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep34
8620	1	3	0.00249701988621986	-0.394693416119785	0.0852756484099962	0.00167576041810693	-49.3743040552826	0	0.00599285770888471	-5.54757870996302	0	463906.873023712	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep36
5971	1	3	0.00517329730955855	-1.75859283439576	0.0434249164771926	0.00456211436148622	-11.5693677079689	3.99680288865056e-17	NA	NA	NA	463897.543802921	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep36
3943	1	3	0.000752719004848249	2.2810942289992	0.0867070767079942	0.00293393154035766	-25.2216022134073	0	0.00644175358649836	-3.56191385481387	0.023588281524893	462599.532950902	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep37
894	1	3	0.00561969925944233	-1.91986051117242	0.0415514795610069	0.00434931630092291	-15.1960404120111	0	NA	NA	NA	462593.608908517	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep37
8434	1	3	0.00159518762679642	-29.8500525145414	0	0.00439032831990749	-1.42051550070726	0.0313122038654051	0.00408550280434943	-8.1147696362453	0.028442447076473	464766.899163318	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep38
7741	1	3	0.00412573435966507	-14.8558152252058	0.00148316857032561	0.00583030144669662	-2.08170793587464	0.0417771535722604	NA	NA	NA	464766.006709807	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep38
8362	1	3	0.00111686689674339	-35.0135835952644	0.0844994082768293	0.00528460157499505	-7.17319446995869	0.00939853992587192	0.00342200423582346	-0.857950372121983	0.0394682979160098	459034.724454319	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep48
