e_1_sim,e_1_mean,e_1_sd,e_1_lwr,e_1_upr,e_2_sim,e_2_mean,e_2_sd,e_2_lwr,e_2_upr,e_3_sim,e_3_mean,e_3_sd,e_3_lwr,e_3_upr,gamma_1_sim,gamma_1_mean,gamma_1_sd,gamma_1_lwr,gamma_1_upr,gamma_2_sim,gamma_2_mean,gamma_2_sd,gamma_2_lwr,gamma_2_upr,gamma_3_sim,gamma_3_mean,gamma_3_sd,gamma_3_lwr,gamma_3_upr,theta_1_sim,theta_1_mean,theta_1_sd,theta_1_lwr,theta_1_upr,theta_2_sim,theta_2_mean,theta_2_sd,theta_2_lwr,theta_2_upr,theta_3_sim,theta_3_mean,theta_3_sd,theta_3_lwr,theta_3_upr,percent_sig,reduction
0.05,0.0434587909912,0.0662700669753,0.0,0.244108553028,0.02,0.0259129220316,0.033385973483,0.0,0.108260536331,0.01,0.0302581782432,0.0600009453163,0.0,0.103363426552,0,-14.6844665116,35.9023305593,-98.2602819209,14.4675134695,-5,-85.4724115183,580.472497195,-145.863927347,6.3937466345,-30,-19.0450871649,44.9186550173,-92.9782097822,8.6088425477,0.002,0.00337369717493,0.00233914713066,0.000279063976685,0.00694177354337,0.006,0.00400793880765,0.00357085030851,0.000374748362593,0.00708814987562,0.002,0.00308286333636,0.00199479682297,0.000193079064091,0.00679886444844,1.37,equal_pol
0.05,0.0696324692038,0.0915902323954,0.0,0.339677836371,0.02,0.0262464320726,0.0445828506647,0.0,0.150437512284,0.01,0.0272947231256,0.0339792798823,0.0,0.110946842191,0,-10.0937105352,19.0812357559,-53.9761750524,8.5378847716,-5,-18.7212381163,23.4683041546,-70.7357140065,7.66383966981,-30,-22.224299749,62.4400557907,-158.20278931,6.53261701735,0.002,0.00299434185707,0.00217445093803,0.000466896208383,0.00671275955768,0.006,0.00339843259804,0.00213302908442,0.000303521603475,0.00711753449217,0.002,0.00366674896984,0.00225798226339,0.000304769801338,0.00708434623442,60.0,2_class
0.05,0.040580014164,0.0619543605123,0.0,0.217457090781,0.02,0.0241745805889,0.0316857207779,0.0,0.0956252591198,0.01,0.0321348049451,0.0590178599053,0.0,0.128009527377,0,-15.2530734689,35.8565759653,-130.831198172,13.6882933163,-5,-73.9744486812,532.421286628,-95.526807549,10.5560068625,-30,-18.1869515311,45.8080172584,-140.049410567,9.2391068891,0.002,0.00339235134484,0.0022697728445,0.000281729262168,0.00690464501382,0.006,0.00389184220475,0.00338602171932,0.000365068067329,0.00699620702917,0.002,0.00311654106888,0.00202162083523,0.000172824734448,0.00671244771855,100.0,no_pol
