run	imp	exit_code	theta	shape	scale	e	lnL	sim_theta	sim_shape	sim_scale	sim_e	model	rep
45	1	3	0.00509989540516085	0.297293961518977	58.2967433114221	0.0458849840475059	176050.734496264	0.005	0.3	50	0.05	full	rep38
37	1	3	NA	NA	NA	NA	175934.646334939	0.005	0.3	50	0.05	reduced	rep38
41	1	3	0.00495421311275501	0.309849233910613	43.4242046479834	0.052798096473054	177819.146287278	0.005	0.3	50	0.05	full	rep39
22	1	3	NA	NA	NA	NA	177725.952589124	0.005	0.3	50	0.05	reduced	rep39
30	1	3	0.00530100815231724	0.272499395844268	82.6052995445621	0.0476783652537465	178031.258625494	0.005	0.3	50	0.05	full	rep40
45	1	3	NA	NA	NA	NA	177887.735715913	0.005	0.3	50	0.05	reduced	rep40
6	1	3	0.00511183237804142	0.306467575073766	52.7561465919817	0.0508619975609037	177650.019740869	0.005	0.3	50	0.05	full	rep41
27	1	3	NA	NA	NA	NA	177532.403017405	0.005	0.3	50	0.05	reduced	rep41
2	1	3	0.00498759930007691	0.329339001705751	41.4031212279557	0.0510015838506003	176408.563367011	0.005	0.3	50	0.05	full	rep42
3	1	3	NA	NA	NA	NA	176305.809195645	0.005	0.3	50	0.05	reduced	rep42
7	1	3	0.00482555961294547	0.361304205575447	27.7979677269959	0.0508016297451848	178545.452475693	0.005	0.3	50	0.05	full	rep43
45	1	3	NA	NA	NA	NA	178465.216931422	0.005	0.3	50	0.05	reduced	rep43
14	1	3	0.00502126840267148	0.305255646618305	48.167076331177	0.0523968737111054	177774.632197239	0.005	0.3	50	0.05	full	rep44
21	1	3	NA	NA	NA	NA	177661.329956559	0.005	0.3	50	0.05	reduced	rep44
33	1	3	0.00517582488799997	0.294334153526282	59.1293417215385	0.0506640286361096	179100.652059962	0.005	0.3	50	0.05	full	rep45
6	1	3	NA	NA	NA	NA	178987.946047832	0.005	0.3	50	0.05	reduced	rep45
