run	imp	exit_code	theta_1	gamma_1	e_1	theta_2	gamma_2	e_2	theta_3	gamma_3	e_3	lnL	sim_theta_1	sim_gamma_1	sim_e_1	sim_theta_2	sim_gamma_2	sim_e_2	sim_theta_3	sim_gamma_3	sim_e_3	model	rep
1173	1	3	0.00213701629784371	-23.9944582069907	0	0.00415586096145653	-5.64146749844673	0	0.00361492035383252	-1.29993132356826	0.0642821146798238	2841616.6259474	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep1
7760	1	3	0.00307495878241985	-18.8777250486521	0.0237376726698282	0.000296829782245651	6.4579812008637	0.0237376726698282	0.00650769960934603	-3.01441904497251	0.0237376726698282	2841616.01179251	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep1
6499	1	3	0.00494904851469636	-6.06847790638689	0	0.00170409334541282	-33.7997815917059	0.0230485840488389	0.00331450247603091	-1.03315187330259	0.0631301525968194	2832733.13878898	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep2
9882	1	3	0.00652869618556198	-4.50091603215566	0.0250622761518602	0.00134807580860439	0.97633417908433	0.0250622761518602	0.00207585914291705	-28.8727120614021	0.0250622761518602	2832733.44177567	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep2
7169	1	3	0.00192068658478046	-28.0698672407546	0	0.00468814066581175	-5.9008137753381	0	0.00333388941272851	-1.10519429392702	0.0689618721282177	2827225.93864713	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep3
1178	1	3	0.000404943948119436	5.25599912042079	0.0235412179533267	0.00657869638766049	-3.29461099247998	0.0235412179533267	0.00291723477583924	-20.5003543676531	0.0235412179533267	2827225.49385778	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep3
9743	1	3	0.00141048614804966	0.667698979719838	0	0.00257263137104429	-21.2671577800003	0	0.0059296320857418	-4.23199098662383	0.0389623931290612	2830987.41099645	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep4
4844	1	3	0.00231792205221975	-24.8111299681154	0.0243696209598257	0.00632908319436958	-4.44915740333022	0.0243696209598257	0.00131193200079667	1.1317788915212	0.0243696209598257	2830988.86582908	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep4
932	1	3	0.00263225983436356	-23.8615556626947	0.0301061636793414	0.000786084184798172	2.51420204267476	0.0448882014665148	0.00658485573038664	-3.81398783185432	0.0204254523265681	2840721.70857794	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep5
2790	1	3	0.00125143455614878	1.23277130367926	0.0248625908604761	0.0064353765426091	-4.36064125239125	0.0248625908604761	0.00234104732170574	-26.8147439452963	0.0248625908604761	2840721.99205369	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep5
4014	1	3	0.00203948982492665	-24.8284659960583	0	0.00282850958646944	-0.897919148696515	0.0817824225494807	0.00502059321150963	-5.17459166831949	0	2836957.99083706	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep6
7657	1	3	0.00263020790776801	-21.1765984769403	0.0240262591888082	0.000514916632366312	3.96651315946048	0.0240262591888082	0.00673185393157093	-3.51192365345745	0.0240262591888082	2836956.92773214	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep6
1371	1	3	0.00107880355092199	-56.3021845638546	0	0.00410429779532348	-9.30279821225514	0.00475810041284301	0.0048694887867981	-1.72065447375791	0.0453845239952657	2829234.87633573	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep7
4884	1	3	0.00314854175527828	-18.9656029079599	0.0246187234165543	0.00639191456715635	-3.01209398280948	0.0246187234165543	0.000333040564834123	5.24273923729037	0.0246187234165543	2829231.24086096	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep7
2241	1	3	0.00220333973144313	-25.0330692144316	0	0.00165597502974242	0.405819421741577	0.0238828879513174	0.00606206781802576	-4.64445963761144	0.0321905248552326	2827342.62242243	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep8
8330	1	3	0.00268811000726996	-21.6151489125907	0.0243279919966566	0.00658343851950696	-3.63101556342325	0.0243279919966566	0.000630107831219664	3.20194912756273	0.0243279919966566	2827339.7998374	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep8
9108	1	3	0.00183787307991716	-34.986634539513	0	0.00389784071416219	-1.38022719222705	0.0595910722435352	0.00431044011835308	-6.42744037522635	0	2834108.23147398	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep9
3177	1	3	0.00235720045112722	-28.9930642183591	0.0244646334134012	0.000946010449437916	1.86789376101723	0.0244646334134012	0.0067300709613511	-4.07050427572211	0.0244646334134012	2834108.84401071	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep9
8912	1	3	0.00151219283211134	-35.9926411880109	0	0.00426054015317457	-1.50141115603058	0.0550264524893935	0.00422300212668412	-7.38949891554651	0	2834414.57265996	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep10
8245	1	3	0.00246893703670231	-24.0923016262726	0.024559739051743	0.00659631725305205	-3.94809430961411	0.024559739051743	0.000882820493573889	2.06953733303018	0.024559739051743	2834413.77728963	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep10
7496	1	3	0.00419596873105425	-8.03150799330472	0	0.00451002293854125	-1.63403256619991	0.0522197321653758	0.00125968300635885	-39.4228542557114	0	2831244.99002168	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep11
6318	1	3	0.00639497780945395	-4.59550013455447	0.0249669896089372	0.00142670740696098	0.842699782071108	0.0249669896089372	0.00210043170063213	-25.9828524336015	0.0249669896089372	2831242.79291868	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep11
233	1	3	0.00178255603198371	-38.6199794092625	0	0.00485585486405786	-6.21707649129103	0	0.00348085634088201	-1.19607925423651	0.0674245876417117	2837918.00556746	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep12
8626	1	3	0.00110660408925481	1.59996334904127	0.0246848787154101	0.00686479038342144	-4.45424324018951	0.0246848787154101	0.00214706728175147	-33.7525294577916	0.0246848787154101	2837918.61347573	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep12
2535	1	3	0.00518237271328909	-4.53565272970474	0.00505036020831594	0.00232330719806062	-0.624513305248306	0.0869030637344105	0.00247197910989401	-24.5235125515762	0.00484380388711678	2834865.4659201	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep13
371	1	3	0.00291309244753993	-21.986391171907	0.0246051192003501	0.000425863367070523	4.47841222252987	0.0246051192003501	0.00662834317349682	-3.28334069803102	0.0246051192003501	2834865.59647858	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep13
1445	1	3	0.00142672087605669	-39.2415958823914	0	0.00426408758672712	-7.76428570901223	0	0.00437909641757103	-1.55229362903938	0.0544842886429294	2845167.77878541	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep14
5864	1	3	0.000433370268841838	4.61170267481976	0.0243787108286142	0.00659764473776748	-3.31245286460123	0.0243787108286142	0.00294296838446676	-20.7093253425473	0.0243787108286142	2845167.70057637	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep14
7819	1	3	0.00397870981859609	-1.44376221005879	0.0583955982115509	0.00152489617011493	-42.0199584734405	0	0.00456438073578211	-6.90853235105807	0	2836210.39538284	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep15
8596	1	3	0.000862804877802693	2.1171496879956	0.0243027035701315	0.00225380577731147	-28.0284913252059	0.0243027035701315	0.00688845490594355	-4.09616835972594	0.0243027035701315	2836210.39327925	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep15
8398	1	3	0.0045248710873065	-1.63963086302044	0.0519549691417822	0.00176272875588476	-32.601334340313	0	0.00369437107205395	-7.34562706910333	0	2824858.76315327	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep16
1169	1	3	0.00127936301349733	1.00844732904536	0.0250272053308559	0.00633481162588295	-4.27499261638547	0.0250272053308559	0.0023683915746459	-27.2649357027035	0.0250272053308559	2824862.08891073	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep16
943	1	3	0.00420043217377948	-7.29677472013595	0.00128448777458595	0.0015515972399096	-34.3709472458267	0	0.00421594462738386	-1.48091955793968	0.0543442596162877	2828846.59042874	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep17
