run	imp	exit_code	theta_1	gamma_1	e_1	theta_2	gamma_2	e_2	theta_3	gamma_3	e_3	lnL	sim_theta_1	sim_gamma_1	sim_e_1	sim_theta_2	sim_gamma_2	sim_e_2	sim_theta_3	sim_gamma_3	sim_e_3	model	rep
8398	1	3	0.0045248710873065	-1.63963086302044	0.0519549691417822	0.00176272875588476	-32.601334340313	0	0.00369437107205395	-7.34562706910333	0	2824858.76315327	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep16
567	1	3	0.000322490786276304	100	0	0.00276598538124643	-23.7840829810853	0	0.00663091741209695	-3.20473895834966	0	2824588.8065684	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep16
943	1	3	0.00420043217377948	-7.29677472013595	0.00128448777458595	0.0015515972399096	-34.3709472458267	0	0.00421594462738386	-1.48091955793968	0.0543442596162877	2828846.59042874	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep17
3030	1	3	0.00653643895493643	-3.18127685489422	0	0.00281547364628386	-21.5282117309122	0	0.000324516323943361	100	0	2828622.84442794	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep17
9607	1	3	0.00536464375199168	-4.36355845076516	0	0.00217465016145896	-0.620443245579276	0.108142258651532	0.00241665306843276	-24.1201541410665	0	2842673.03928109	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep18
3871	1	3	0.00269216834278056	-23.2547277521087	0	0.00032938534634752	100	0	0.00670985089743132	-3.25012656622853	0	2842463.84646694	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep18
1173	1	3	0.00248698921414366	-20.4454199608585	0	0.00455768393520976	-4.69594635482638	0	0.00278703648767356	-0.965886513752731	0.084575110789978	2826307.967023	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep19
9214	1	3	0.0065029719621913	-3.18464216662405	0	0.0027860130916217	-20.3472552846914	0	0.000327550093574494	100	0	2826055.2703813	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep19
2754	1	3	0.00308355480290966	-0.923982697952156	0.0740204577591056	0.00531836463446324	-5.9864619551064	0	0.00166611347865977	-40.4378929922491	0	2835541.59403754	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep20
8551	1	3	0.00665839275237296	-3.24781969231074	0	0.00273829812625239	-22.7798462449438	0	0.000326490391010546	100	0	2835295.11160378	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep20
